region_id,dimension,goal,score
0,future,AO,94.3
1,future,AO,NA
2,future,AO,100
3,future,AO,71.2
4,future,AO,NA
5,future,AO,NA
6,future,AO,69.3
7,future,AO,NA
8,future,AO,NA
9,future,AO,74.9
10,future,AO,NA
11,future,AO,NA
12,future,AO,75.5
13,future,AO,NA
14,future,AO,100
15,future,AO,NA
16,future,AO,NA
17,future,AO,NA
18,future,AO,NA
19,future,AO,NA
20,future,AO,NA
21,future,AO,NA
22,future,AO,NA
23,future,AO,100
24,future,AO,96.4
25,future,AO,NA
26,future,AO,83.6
27,future,AO,97
28,future,AO,59.5
29,future,AO,97.6
30,future,AO,100
31,future,AO,NA
32,future,AO,100
33,future,AO,NA
34,future,AO,NA
35,future,AO,100
36,future,AO,100
37,future,AO,100
38,future,AO,100
39,future,AO,81.8
40,future,AO,100
41,future,AO,100
42,future,AO,100
301,future,AO,95.2
302,future,AO,85.8
303,future,AO,NA
304,future,AO,NA
305,future,AO,NA
306,future,AO,100
307,future,AO,96.5
308,future,AO,59.5
309,future,AO,100
501,future,AO,100
502,future,AO,71.2
503,future,AO,69.3
504,future,AO,NA
505,future,AO,74.9
506,future,AO,75.5
507,future,AO,100
508,future,AO,NA
509,future,AO,97.2
510,future,AO,83.6
511,future,AO,75.6
512,future,AO,98.4
513,future,AO,100
514,future,AO,100
515,future,AO,100
516,future,AO,92.8
517,future,AO,100
0,pressures,AO,52.1
1,pressures,AO,25
2,pressures,AO,25
3,pressures,AO,27
4,pressures,AO,27
5,pressures,AO,7.8
6,pressures,AO,7.8
7,pressures,AO,20
8,pressures,AO,20
9,pressures,AO,24.6
10,pressures,AO,24.6
11,pressures,AO,69.4
12,pressures,AO,69.4
13,pressures,AO,69.4
14,pressures,AO,68.7
15,pressures,AO,68.7
16,pressures,AO,68.7
17,pressures,AO,68.7
18,pressures,AO,85.7
19,pressures,AO,85.7
20,pressures,AO,66.7
21,pressures,AO,66.7
22,pressures,AO,66.7
23,pressures,AO,66.7
24,pressures,AO,66.7
25,pressures,AO,66.7
26,pressures,AO,36
27,pressures,AO,37.1
28,pressures,AO,37.1
29,pressures,AO,58.1
30,pressures,AO,58.1
31,pressures,AO,58.1
32,pressures,AO,55.9
33,pressures,AO,55.9
