goal,po_trash,cc_sst,ss_wgi,cc_sal_surf,fp_over_harvest,po_nload,po_atmos_pcb153,po_pload,cc_sal_deep,hab_anoxia,hab_illegal_oil,sp_invasives,hab_bottom_trawl,po_inverse_secchi
FIS,2,2,1,2,3,2,2,2,2,2,2,NA,NA,NA
MAR,NA,2,1,2,NA,1,2,1,2,NA,1,NA,NA,NA
NP,2,NA,1,NA,3,2,2,2,NA,2,2,NA,NA,NA
AO,2,2,1,2,3,2,2,2,NA,NA,NA,NA,NA,NA
CS,NA,2,1,2,NA,2,1,2,2,NA,NA,NA,NA,NA
TR,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
LIV,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECO,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICO,NA,2,1,2,2,NA,2,NA,2,2,2,2,NA,NA
LSP,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2
EUT,NA,NA,1,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
TRA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA
BD,2,2,1,2,2,3,2,3,2,2,NA,2,3,NA
