"rgn_id","dimension","score"
1,"status",100
2,"status",100
3,"status",NA
4,"status",NA
5,"status",NA
6,"status",NA
7,"status",NA
8,"status",NA
9,"status",NA
10,"status",NA
11,"status",100
12,"status",100
13,"status",100
14,"status",100
15,"status",100
16,"status",100
17,"status",100
18,"status",NA
19,"status",NA
20,"status",NA
21,"status",NA
22,"status",NA
23,"status",NA
24,"status",NA
25,"status",NA
26,"status",100
27,"status",NA
28,"status",NA
29,"status",100
30,"status",100
31,"status",100
32,"status",NA
33,"status",NA
34,"status",NA
35,"status",NA
36,"status",NA
37,"status",100
38,"status",100
39,"status",100
40,"status",100
41,"status",100
42,"status",100
