"rgn_id","trend"
1,0.00634518
2,0.0007768
3,0.0007768
4,-0.00738226
5,0.00634518
6,0.0007768
7,0.0007768
8,-0.00738226
9,0.0007768
10,-0.00738226
11,0.00634518
12,0.0007768
13,-0.00738226
14,0.00634518
15,0.0007768
16,NA
17,0.00411374
18,0.00411374
19,-0.127109
20,0.00634518
21,0.00411374
22,-0.127109
23,-0.0110629
24,-0.0395615
25,-0.0564627
26,0.00634518
27,-0.0395615
28,-0.0564627
29,0.00634518
30,-0.0473734
31,-0.0564627
32,-0.0473734
33,-0.127109
34,-0.0564627
35,0.00634518
36,-0.0473734
37,0.00634518
38,-0.0473734
39,0.00634518
40,NA
41,0.00634518
42,NA
