"rgn_id","species","sust_coeff"
1,"Rainbow Trout",0.53
2,"Rainbow Trout",0.53
3,"Rainbow Trout",0.53
4,"Rainbow Trout",0.53
5,"Rainbow Trout",0.53
6,"Rainbow Trout",0.53
7,"Rainbow Trout",0.53
8,"Rainbow Trout",0.53
9,"Rainbow Trout",0.53
10,"Rainbow Trout",0.53
11,"Rainbow Trout",0.53
12,"Rainbow Trout",0.53
13,"Rainbow Trout",0.53
14,"Rainbow Trout",0.53
15,"Rainbow Trout",0.53
16,"Rainbow Trout",0.53
26,"Rainbow Trout",0.53
29,"Rainbow Trout",0.53
32,"Rainbow Trout",0.53
35,"Rainbow Trout",0.53
36,"Rainbow Trout",0.53
37,"Rainbow Trout",0.53
38,"Rainbow Trout",0.53
39,"Rainbow Trout",0.53
40,"Rainbow Trout",0.53
41,"Rainbow Trout",0.53
42,"Rainbow Trout",0.53
