"rgn_id","pressure_score"
1,0.05
2,0.05
3,0.084375
4,0.084375
5,0.021875
6,0.021875
7,0.084375
8,0.084375
9,0.084375
10,0.084375
11,0.378125
12,0.378125
13,0.378125
14,0.378125
15,0.378125
16,0.378125
17,0.378125
18,0.378125
19,0.378125
20,0.378125
21,0.378125
22,0.378125
23,0.378125
24,0.378125
25,0.378125
26,0.378125
27,0.090625
28,0.090625
29,0.378125
30,0.378125
31,0.378125
32,0.121875
33,0.121875
34,0.121875
35,0.034375
36,0.034375
37,0.090625
38,0.090625
39,0.090625
40,0.090625
41,0.0625
42,0.0625
