"rgn_id","dimension","score"
1,"trend",-3.63033133015008e-16
2,"trend",-3.63033133015008e-16
3,"trend",NA
4,"trend",NA
5,"trend",NA
6,"trend",NA
7,"trend",NA
8,"trend",NA
9,"trend",NA
10,"trend",NA
11,"trend",4.96506830649455e-16
12,"trend",4.96506830649455e-16
13,"trend",4.96506830649455e-16
14,"trend",2.86658352330186e-16
15,"trend",2.86658352330186e-16
16,"trend",2.86658352330186e-16
17,"trend",2.86658352330186e-16
18,"trend",NA
19,"trend",NA
20,"trend",NA
21,"trend",NA
22,"trend",NA
23,"trend",NA
24,"trend",NA
25,"trend",NA
26,"trend",4.96506830649455e-16
27,"trend",NA
28,"trend",NA
29,"trend",0
30,"trend",0
31,"trend",0
32,"trend",NA
33,"trend",NA
34,"trend",NA
35,"trend",NA
36,"trend",NA
37,"trend",0.0200956875108194
38,"trend",0.0200956875108194
39,"trend",4.96506830649455e-16
40,"trend",4.96506830649455e-16
41,"trend",0
42,"trend",0
