"rgn_id","pressure_score"
1,0.961255692013485
2,0.961255692013485
3,0.84999070970578
4,0.84999070970578
5,0.828905985861215
6,0.828905985861215
7,0.736574138579726
8,0.736574138579726
9,0.821740451985241
10,0.821740451985241
11,0.821740451985241
12,0.821740451985241
13,0.821740451985241
14,0.865244834355823
15,0.865244834355823
16,0.865244834355823
17,0.865244834355823
18,0.865244834355823
19,0.865244834355823
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0.853781901725096
28,0.853781901725096
29,1
30,1
31,1
32,1
33,1
34,1
35,0.832254388325325
36,0.832254388325325
37,0.832254388325325
38,0.832254388325325
39,0.832254388325325
40,0.832254388325325
41,0.794945125812747
42,0.794945125812747
