penalty_factor,rgn_id
0.117647059,41
0.117647059,42
0.058823529,39
0.058823529,40
0.058823529,37
0.058823529,38
0.058823529,35
0.058823529,36
0.058823529,32
0.058823529,33
0.058823529,34
0.058823529,27
0.058823529,28
0.117647059,29
0.117647059,30
0.117647059,31
0.117647059,26
0.117647059,20
0.117647059,21
0.117647059,22
0.117647059,23
0.117647059,24
0.117647059,25
0.117647059,14
0.117647059,15
0.117647059,16
0.117647059,17
0.117647059,11
0.117647059,12
0.117647059,13
0.058823529,18
0.058823529,19
0.117647059,9
0.117647059,10
0.117647059,7
0.117647059,8
0.117647059,3
0.117647059,4
0.117647059,5
0.117647059,6
0.176470588,1
0.176470588,2
