"rgn_id","dimension","score"
1,"status",NA
2,"status",20
3,"status",27
4,"status",NA
5,"status",20
6,"status",20
7,"status",NA
8,"status",NA
9,"status",70
10,"status",70
11,"status",NA
12,"status",76
13,"status",76
14,"status",84
15,"status",NA
16,"status",84
17,"status",NA
18,"status",NA
19,"status",NA
20,"status",NA
21,"status",NA
22,"status",NA
23,"status",100
24,"status",100
25,"status",NA
26,"status",20
27,"status",50
28,"status",50
29,"status",100
30,"status",100
31,"status",NA
32,"status",60
33,"status",NA
34,"status",NA
35,"status",95
36,"status",95
37,"status",80
38,"status",80
39,"status",67
40,"status",67
41,"status",80
42,"status",80
