"rgn_id","dimension","score"
1,"trend",-0.08
2,"trend",-0.08
3,"trend",-0.01
4,"trend",-0.01
5,"trend",-0.05
6,"trend",-0.05
7,"trend",NA
8,"trend",NA
9,"trend",NA
10,"trend",NA
11,"trend",0.16
12,"trend",0.16
13,"trend",0.16
14,"trend",0.06
15,"trend",0.06
16,"trend",0.06
17,"trend",0.06
18,"trend",NA
19,"trend",NA
20,"trend",0.07
21,"trend",0.07
22,"trend",0.07
23,"trend",0.07
24,"trend",0.07
25,"trend",0.07
26,"trend",-0.01
27,"trend",0.17
28,"trend",0.17
29,"trend",-0.06
30,"trend",-0.06
31,"trend",-0.06
32,"trend",0.17
33,"trend",NA
34,"trend",NA
35,"trend",0.13
36,"trend",0.13
37,"trend",0.06
38,"trend",0.06
39,"trend",0.03
40,"trend",0.03
41,"trend",0.11
42,"trend",0.11
