"rgn_id","dimension","score"
1,"trend",2.05721795978089e-16
2,"trend",2.05721795978089e-16
3,"trend",NA
4,"trend",NA
5,"trend",NA
6,"trend",NA
7,"trend",NA
8,"trend",NA
9,"trend",NA
10,"trend",NA
11,"trend",0
12,"trend",0
13,"trend",0
14,"trend",-2.39242459783244e-16
15,"trend",-2.39242459783244e-16
16,"trend",-2.39242459783244e-16
17,"trend",-2.39242459783244e-16
18,"trend",NA
19,"trend",NA
20,"trend",0
21,"trend",0
22,"trend",0
23,"trend",0
24,"trend",0
25,"trend",0
26,"trend",0
27,"trend",NA
28,"trend",NA
29,"trend",3.48605639498744e-16
30,"trend",3.48605639498744e-16
31,"trend",3.48605639498744e-16
32,"trend",NA
33,"trend",NA
34,"trend",NA
35,"trend",NA
36,"trend",NA
37,"trend",-5.08818012209995e-16
38,"trend",-5.08818012209995e-16
39,"trend",4.96506830649455e-16
40,"trend",4.96506830649455e-16
41,"trend",-5.00758596540555e-16
42,"trend",-5.00758596540555e-16
NA,"trend",-2.75454817312944e-16
