"region_id","score","dimension","matrix","scen_year"
1,0.923123278833254,"status","combined",2019
2,0.923123278833254,"status","combined",2019
3,0.507744963253294,"status","combined",2019
4,0.507744963253294,"status","combined",2019
5,0.509129256573226,"status","combined",2019
6,0.509129256573226,"status","combined",2019
7,NA,"status","combined",2019
8,NA,"status","combined",2019
9,NA,"status","combined",2019
10,NA,"status","combined",2019
11,0.813630887506808,"status","combined",2019
12,0.813630887506808,"status","combined",2019
13,0.813630887506808,"status","combined",2019
14,0.748108318321818,"status","combined",2019
15,0.748108318321818,"status","combined",2019
16,0.748108318321818,"status","combined",2019
17,0.748108318321818,"status","combined",2019
18,NA,"status","combined",2019
19,NA,"status","combined",2019
20,0.610147986420363,"status","combined",2019
21,0.610147986420363,"status","combined",2019
22,0.610147986420363,"status","combined",2019
23,0.610147986420363,"status","combined",2019
24,0.610147986420363,"status","combined",2019
25,0.610147986420363,"status","combined",2019
26,0.655280442077787,"status","combined",2019
27,NA,"status","combined",2019
28,NA,"status","combined",2019
29,0.697252372207762,"status","combined",2019
30,0.697252372207762,"status","combined",2019
31,0.697252372207762,"status","combined",2019
32,1,"status","combined",2019
33,1,"status","combined",2019
34,1,"status","combined",2019
35,0.68433898825332,"status","combined",2019
36,0.68433898825332,"status","combined",2019
37,0.722901316639536,"status","combined",2019
38,0.722901316639536,"status","combined",2019
39,1,"status","combined",2019
40,1,"status","combined",2019
41,0.66605312422767,"status","combined",2019
42,0.66605312422767,"status","combined",2019
1,0.563,"trend","combined",2019
2,0.563,"trend","combined",2019
3,-0.21,"trend","combined",2019
4,-0.21,"trend","combined",2019
5,-1,"trend","combined",2019
6,-1,"trend","combined",2019
7,NA,"trend","combined",2019
8,NA,"trend","combined",2019
9,NA,"trend","combined",2019
10,NA,"trend","combined",2019
11,0.013,"trend","combined",2019
12,0.013,"trend","combined",2019
13,0.013,"trend","combined",2019
14,0.026,"trend","combined",2019
15,0.026,"trend","combined",2019
16,0.026,"trend","combined",2019
17,0.026,"trend","combined",2019
18,NA,"trend","combined",2019
19,NA,"trend","combined",2019
20,NA,"trend","combined",2019
21,NA,"trend","combined",2019
22,NA,"trend","combined",2019
23,NA,"trend","combined",2019
24,NA,"trend","combined",2019
25,NA,"trend","combined",2019
26,0.049,"trend","combined",2019
27,NA,"trend","combined",2019
28,NA,"trend","combined",2019
29,0.058,"trend","combined",2019
30,0.058,"trend","combined",2019
31,0.058,"trend","combined",2019
32,NA,"trend","combined",2019
33,NA,"trend","combined",2019
34,NA,"trend","combined",2019
35,-0.005,"trend","combined",2019
36,-0.005,"trend","combined",2019
37,0.03,"trend","combined",2019
38,0.03,"trend","combined",2019
39,-0.115,"trend","combined",2019
40,-0.115,"trend","combined",2019
41,0.012,"trend","combined",2019
42,0.012,"trend","combined",2019
1,1,"status","bio",2019
1,0.846246557666508,"status","sed",2019
2,1,"status","bio",2019
2,0.846246557666508,"status","sed",2019
3,NA,"status","bio",2019
3,0.507744963253294,"status","sed",2019
4,NA,"status","bio",2019
4,0.507744963253294,"status","sed",2019
5,NA,"status","bio",2019
5,0.509129256573226,"status","sed",2019
6,NA,"status","bio",2019
6,0.509129256573226,"status","sed",2019
7,NA,"status","bio",2019
7,NA,"status","sed",2019
8,NA,"status","bio",2019
8,NA,"status","sed",2019
9,NA,"status","bio",2019
9,NA,"status","sed",2019
10,NA,"status","bio",2019
10,NA,"status","sed",2019
11,1,"status","bio",2019
11,0.627261775013616,"status","sed",2019
12,1,"status","bio",2019
12,0.627261775013616,"status","sed",2019
13,1,"status","bio",2019
13,0.627261775013616,"status","sed",2019
14,1,"status","bio",2019
14,0.496216636643637,"status","sed",2019
15,1,"status","bio",2019
15,0.496216636643637,"status","sed",2019
16,1,"status","bio",2019
16,0.496216636643637,"status","sed",2019
17,1,"status","bio",2019
17,0.496216636643637,"status","sed",2019
18,NA,"status","bio",2019
18,NA,"status","sed",2019
19,NA,"status","bio",2019
19,NA,"status","sed",2019
20,1,"status","bio",2019
20,0.220295972840726,"status","sed",2019
21,1,"status","bio",2019
21,0.220295972840726,"status","sed",2019
22,1,"status","bio",2019
22,0.220295972840726,"status","sed",2019
23,1,"status","bio",2019
23,0.220295972840726,"status","sed",2019
24,1,"status","bio",2019
24,0.220295972840726,"status","sed",2019
25,1,"status","bio",2019
25,0.220295972840726,"status","sed",2019
26,1,"status","bio",2019
26,0.310560884155575,"status","sed",2019
27,NA,"status","bio",2019
27,NA,"status","sed",2019
28,NA,"status","bio",2019
28,NA,"status","sed",2019
29,1,"status","bio",2019
29,0.394504744415525,"status","sed",2019
30,1,"status","bio",2019
30,0.394504744415525,"status","sed",2019
31,1,"status","bio",2019
31,0.394504744415525,"status","sed",2019
32,1,"status","bio",2019
32,NA,"status","sed",2019
33,1,"status","bio",2019
33,NA,"status","sed",2019
34,1,"status","bio",2019
34,NA,"status","sed",2019
35,1,"status","bio",2019
