region_id,indicator_status
1,100
2,NA
3,NA
4,NA
5,100
6,NA
7,100
8,95.76103175194214
9,82
10,77.88501123954357
11,100
12,NA
13,69.2734141768041
14,0
15,0
16,23.80760013791275
17,24.802975144764964
18,38.16244744221133
19,0
20,82.15833333333333
21,75.69166666666666
22,57.333333333333336
23,67.76827631332421
24,76.83451230238182
25,83.20833333333333
26,84.1679311246421
27,100
28,100
29,85.49271618876575
30,56.43333333333334
31,84.625
32,62.09651795158149
33,50.66666666666667
34,79.02567972827971
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
