"region_id","score","dimension","indicator","scen_year"
1,100,"status","secchi",2019
2,100,"status","secchi",2019
3,91.38,"status","secchi",2019
4,91.38,"status","secchi",2019
5,99.4,"status","secchi",2019
6,99.4,"status","secchi",2019
7,96.62,"status","secchi",2019
8,96.62,"status","secchi",2019
9,75.33,"status","secchi",2019
10,75.33,"status","secchi",2019
11,79.36,"status","secchi",2019
12,79.36,"status","secchi",2019
13,79.36,"status","secchi",2019
14,70.99,"status","secchi",2019
15,70.99,"status","secchi",2019
16,70.99,"status","secchi",2019
17,70.99,"status","secchi",2019
18,77.9,"status","secchi",2019
19,77.9,"status","secchi",2019
20,75.67,"status","secchi",2019
21,75.67,"status","secchi",2019
22,75.67,"status","secchi",2019
23,75.67,"status","secchi",2019
24,75.67,"status","secchi",2019
25,75.67,"status","secchi",2019
26,68.85,"status","secchi",2019
27,69.18,"status","secchi",2019
28,69.18,"status","secchi",2019
29,80.41,"status","secchi",2019
30,80.41,"status","secchi",2019
31,80.41,"status","secchi",2019
32,76.71,"status","secchi",2019
33,76.71,"status","secchi",2019
34,76.71,"status","secchi",2019
35,NA,"status","secchi",2019
36,NA,"status","secchi",2019
37,82.33,"status","secchi",2019
38,82.33,"status","secchi",2019
39,84.17,"status","secchi",2019
40,84.17,"status","secchi",2019
41,81.35,"status","secchi",2019
42,81.35,"status","secchi",2019
1,0.008,"trend","secchi",2019
2,0.008,"trend","secchi",2019
3,0.11,"trend","secchi",2019
4,0.11,"trend","secchi",2019
5,-0.009,"trend","secchi",2019
6,-0.009,"trend","secchi",2019
7,0.115,"trend","secchi",2019
8,0.115,"trend","secchi",2019
9,0.001,"trend","secchi",2019
10,0.001,"trend","secchi",2019
11,-0.079,"trend","secchi",2019
12,-0.079,"trend","secchi",2019
13,-0.079,"trend","secchi",2019
14,-0.06,"trend","secchi",2019
15,-0.06,"trend","secchi",2019
16,-0.06,"trend","secchi",2019
17,-0.06,"trend","secchi",2019
18,-0.045,"trend","secchi",2019
19,-0.045,"trend","secchi",2019
20,-0.101,"trend","secchi",2019
21,-0.101,"trend","secchi",2019
22,-0.101,"trend","secchi",2019
23,-0.101,"trend","secchi",2019
24,-0.101,"trend","secchi",2019
25,-0.101,"trend","secchi",2019
26,-0.054,"trend","secchi",2019
27,-0.128,"trend","secchi",2019
28,-0.128,"trend","secchi",2019
29,-0.017,"trend","secchi",2019
30,-0.017,"trend","secchi",2019
31,-0.017,"trend","secchi",2019
32,-0.045,"trend","secchi",2019
33,-0.045,"trend","secchi",2019
34,-0.045,"trend","secchi",2019
37,-0.028,"trend","secchi",2019
38,-0.028,"trend","secchi",2019
39,-0.171,"trend","secchi",2019
40,-0.171,"trend","secchi",2019
41,-0.054,"trend","secchi",2019
42,-0.054,"trend","secchi",2019
35,NA,"trend","secchi",2019
36,NA,"trend","secchi",2019
