"region_id","score","dimension","indicator","scen_year"
1,99.68,"status","dip",2019
2,99.68,"status","dip",2019
3,100,"status","dip",2019
4,100,"status","dip",2019
5,68.53,"status","dip",2019
6,68.53,"status","dip",2019
7,95.19,"status","dip",2019
8,95.19,"status","dip",2019
9,83.06,"status","dip",2019
10,83.06,"status","dip",2019
11,63.6,"status","dip",2019
12,63.6,"status","dip",2019
13,63.6,"status","dip",2019
14,49.6,"status","dip",2019
15,49.6,"status","dip",2019
16,49.6,"status","dip",2019
17,49.6,"status","dip",2019
18,51.38,"status","dip",2019
19,51.38,"status","dip",2019
20,47.55,"status","dip",2019
21,47.55,"status","dip",2019
22,47.55,"status","dip",2019
23,47.55,"status","dip",2019
24,47.55,"status","dip",2019
25,47.55,"status","dip",2019
26,51.54,"status","dip",2019
27,32.05,"status","dip",2019
28,32.05,"status","dip",2019
29,34.84,"status","dip",2019
30,34.84,"status","dip",2019
31,34.84,"status","dip",2019
32,59.2,"status","dip",2019
33,59.2,"status","dip",2019
34,59.2,"status","dip",2019
35,44.97,"status","dip",2019
36,44.97,"status","dip",2019
37,48.69,"status","dip",2019
38,48.69,"status","dip",2019
39,33.04,"status","dip",2019
40,33.04,"status","dip",2019
41,100,"status","dip",2019
42,100,"status","dip",2019
1,-0.027,"trend","dip",2019
2,-0.027,"trend","dip",2019
3,0.111,"trend","dip",2019
4,0.111,"trend","dip",2019
7,-0.06,"trend","dip",2019
8,-0.06,"trend","dip",2019
9,0.088,"trend","dip",2019
10,0.088,"trend","dip",2019
11,0.11,"trend","dip",2019
12,0.11,"trend","dip",2019
13,0.11,"trend","dip",2019
14,0.139,"trend","dip",2019
15,0.139,"trend","dip",2019
16,0.139,"trend","dip",2019
17,0.139,"trend","dip",2019
18,0.147,"trend","dip",2019
19,0.147,"trend","dip",2019
20,-0.199,"trend","dip",2019
21,-0.199,"trend","dip",2019
22,-0.199,"trend","dip",2019
23,-0.199,"trend","dip",2019
24,-0.199,"trend","dip",2019
25,-0.199,"trend","dip",2019
26,-0.051,"trend","dip",2019
27,-1,"trend","dip",2019
28,-1,"trend","dip",2019
29,-0.453,"trend","dip",2019
30,-0.453,"trend","dip",2019
31,-0.453,"trend","dip",2019
32,-0.087,"trend","dip",2019
33,-0.087,"trend","dip",2019
34,-0.087,"trend","dip",2019
35,-0.549,"trend","dip",2019
36,-0.549,"trend","dip",2019
37,-0.379,"trend","dip",2019
38,-0.379,"trend","dip",2019
39,-1,"trend","dip",2019
40,-1,"trend","dip",2019
41,-0.272,"trend","dip",2019
42,-0.272,"trend","dip",2019
5,NA,"trend","dip",2019
6,NA,"trend","dip",2019
