year,subbasin,input_p_tonnes,flow_cubicm_per_sec,maximum_allowable_input,rollmean3yr_input
1997,Baltic Proper,20312,3458,7360,19111
1998,Baltic Proper,21965,4273,7360,20020
1999,Baltic Proper,20420,4118,7360,20899
2000,Baltic Proper,16512,3649,7360,19632
2001,Baltic Proper,17933,3755,7360,18288
2002,Baltic Proper,17665,3918,7360,17370
2003,Baltic Proper,11810,2535,7360,15803
2004,Baltic Proper,15057,3135,7360,14844
2005,Baltic Proper,12438,3099,7360,13102
2006,Baltic Proper,13694,3055,7360,13730
2007,Baltic Proper,14658,3696,7360,13597
2008,Baltic Proper,12164,3289,7360,13505
2009,Baltic Proper,13721,3192,7360,13514
2010,Baltic Proper,19329,4763,7360,15071
2011,Baltic Proper,15882,4038,7360,16311
2012,Baltic Proper,10714,3297,7360,15308
2013,Baltic Proper,14660,3430,7360,13752
2014,Baltic Proper,14151,2950,7360,13175
2015,Baltic Proper,8452,2561,7360,12421
2016,Baltic Proper,9716,2796,7360,10773
2017,Baltic Proper,12920,3921,7360,10363
1997,Bothnian Bay,2807,3092,2675,2478
1998,Bothnian Bay,3401,4198,2675,2662
1999,Bothnian Bay,2429,3445,2675,2879
2000,Bothnian Bay,3426,4349,2675,3085
2001,Bothnian Bay,2516,3585,2675,2790
2002,Bothnian Bay,1754,2829,2675,2565
2003,Bothnian Bay,1583,2305,2675,1951
2004,Bothnian Bay,2444,3505,2675,1927
2005,Bothnian Bay,2525,3701,2675,2184
2006,Bothnian Bay,2255,2902,2675,2408
2007,Bothnian Bay,2291,3613,2675,2357
2008,Bothnian Bay,2802,3941,2675,2449
2009,Bothnian Bay,1858,2802,2675,2317
2010,Bothnian Bay,2481,3135,2675,2380
2011,Bothnian Bay,2452,3466,2675,2264
2012,Bothnian Bay,3509,4460,2675,2814
2013,Bothnian Bay,2246,3276,2675,2736
2014,Bothnian Bay,2036,3101,2675,2597
2015,Bothnian Bay,3220,4486,2675,2501
2016,Bothnian Bay,2783,4023,2675,2680
2017,Bothnian Bay,2390,3584,2675,2798
1997,Bothnian Sea,2458,2779,2773,2525
1998,Bothnian Sea,2969,3846,2773,2540
1999,Bothnian Sea,2928,2907,2773,2785
2000,Bothnian Sea,3820,3981,2773,3239
2001,Bothnian Sea,2765,3762,2773,3171
2002,Bothnian Sea,1562,2523,2773,2716
2003,Bothnian Sea,1336,2074,2773,1888
2004,Bothnian Sea,2000,2531,2773,1633
2005,Bothnian Sea,2368,3015,2773,1901
2006,Bothnian Sea,2488,2825,2773,2285
2007,Bothnian Sea,1963,2713,2773,2273
2008,Bothnian Sea,3245,3054,2773,2565
2009,Bothnian Sea,1747,2943,2773,2318
2010,Bothnian Sea,1877,2914,2773,2290
2011,Bothnian Sea,2359,3077,2773,1994
2012,Bothnian Sea,2688,3661,2773,2308
2013,Bothnian Sea,1943,2526,2773,2330
2014,Bothnian Sea,1676,2667,2773,2102
2015,Bothnian Sea,2416,3277,2773,2012
2016,Bothnian Sea,1499,2371,2773,1864
2017,Bothnian Sea,1940,2639,2773,1952
1997,Danish Straits,1291,130,1601,1656
1998,Danish Straits,1969,279,1601,1543
1999,Danish Straits,1830,268,1601,1697
2000,Danish Straits,1452,219,1601,1750
2001,Danish Straits,1398,205,1601,1560
2002,Danish Straits,2032,321,1601,1627
2003,Danish Straits,984,143,1601,1471
2004,Danish Straits,1397,219,1601,1471
2005,Danish Straits,1167,197,1601,1183
2006,Danish Straits,1359,226,1601,1308
2007,Danish Straits,1761,300,1601,1429
2008,Danish Straits,1491,238,1601,1537
2009,Danish Straits,1264,170,1601,1505
2010,Danish Straits,1466,255,1601,1407
2011,Danish Straits,1692,257,1601,1474
2012,Danish Straits,1505,233,1601,1554
2013,Danish Straits,1386,220,1601,1528
2014,Danish Straits,1382,210,1601,1424
2015,Danish Straits,1799,275,1601,1522
2016,Danish Straits,1283,222,1601,1488
2017,Danish Straits,1564,256,1601,1549
1997,Gulf of Finland,6903,2963,3600,8021
1998,Gulf of Finland,7784,3541,3600,7342
1999,Gulf of Finland,7716,3645,3600,7468
2000,Gulf of Finland,8508,3215,3600,8003
2001,Gulf of Finland,7301,3413,3600,7842
2002,Gulf of Finland,9344,3028,3600,8384
2003,Gulf of Finland,7285,2336,3600,7977
2004,Gulf of Finland,10383,3629,3600,9004
2005,Gulf of Finland,11307,3970,3600,9658
2006,Gulf of Finland,6540,2852,3600,9410
2007,Gulf of Finland,5218,3307,3600,7688
2008,Gulf of Finland,6727,4064,3600,6162
2009,Gulf of Finland,11146,3832,3600,7697
2010,Gulf of Finland,6140,4070,3600,8004
2011,Gulf of Finland,6809,3921,3600,8032
2012,Gulf of Finland,4468,4242,3600,5806
2013,Gulf of Finland,3897,4051,3600,5058
2014,Gulf of Finland,3855,3461,3600,4073
2015,Gulf of Finland,3080,3137,3600,3611
2016,Gulf of Finland,4025,3801,3600,3653
2017,Gulf of Finland,4727,3803,3600,3944
1997,Gulf of Riga,1670,1070,2020,1676
1998,Gulf of Riga,3010,1482,2020,2019
1999,Gulf of Riga,2505,1094,2020,2395
2000,Gulf of Riga,2132,1021,2020,2549
2001,Gulf of Riga,2337,1078,2020,2325
2002,Gulf of Riga,1715,987,2020,2061
2003,Gulf of Riga,1949,758,2020,2000
2004,Gulf of Riga,2618,1195,2020,2094
2005,Gulf of Riga,2608,1140,2020,2392
2006,Gulf of Riga,1903,834,2020,2376
2007,Gulf of Riga,2565,986,2020,2359
2008,Gulf of Riga,2613,1115,2020,2360
2009,Gulf of Riga,2419,1149,2020,2532
2010,Gulf of Riga,2679,1310,2020,2570
2011,Gulf of Riga,1738,1101,2020,2279
2012,Gulf of Riga,2792,1371,2020,2403
2013,Gulf of Riga,2289,1074,2020,2273
2014,Gulf of Riga,1436,692,2020,2172
2015,Gulf of Riga,1361,720,2020,1695
2016,Gulf of Riga,2156,959,2020,1651
2017,Gulf of Riga,3022,1453,2020,2180
1997,Kattegat,1208,832,1687,1351
1998,Kattegat,1869,1164,1687,1373
1999,Kattegat,1958,1442,1687,1678
2000,Kattegat,1864,1313,1687,1897
2001,Kattegat,1728,1396,1687,1850
2002,Kattegat,1617,1107,1687,1736
2003,Kattegat,1063,703,1687,1469
2004,Kattegat,1482,952,1687,1387
2005,Kattegat,1393,888,1687,1313
2006,Kattegat,1872,1079,1687,1582
2007,Kattegat,1722,1313,1687,1662
2008,Kattegat,1623,1296,1687,1739
2009,Kattegat,1187,967,1687,1511
2010,Kattegat,1424,1169,1687,1411
2011,Kattegat,1492,1172,1687,1368
2012,Kattegat,1529,1234,1687,1482
2013,Kattegat,1142,931,1687,1388
2014,Kattegat,1547,1227,1687,1406
2015,Kattegat,1601,1201,1687,1430
2016,Kattegat,1230,922,1687,1459
2017,Kattegat,1378,900,1687,1403
