year,subbasin,input_n_tonnes,flow_cubicm_per_sec,maximum_allowable_input,rollmean3yr_input
1997,Baltic Proper,456618,3458,325000,498702
1998,Baltic Proper,589676,4273,325000,524008
1999,Baltic Proper,528667,4118,325000,524987
2000,Baltic Proper,454533,3649,325000,524292
2001,Baltic Proper,448683,3755,325000,477294
2002,Baltic Proper,498280,3918,325000,467165
2003,Baltic Proper,339709,2535,325000,428891
2004,Baltic Proper,394531,3135,325000,410840
2005,Baltic Proper,393101,3099,325000,375780
2006,Baltic Proper,399895,3055,325000,395842
2007,Baltic Proper,461685,3696,325000,418227
2008,Baltic Proper,394806,3289,325000,418795
2009,Baltic Proper,374967,3192,325000,410486
2010,Baltic Proper,534092,4763,325000,434622
2011,Baltic Proper,469783,4038,325000,459614
2012,Baltic Proper,362865,3297,325000,455580
2013,Baltic Proper,407325,3430,325000,413324
2014,Baltic Proper,332815,2950,325000,367668
2015,Baltic Proper,313877,2561,325000,351339
2016,Baltic Proper,349452,2796,325000,332048
2017,Baltic Proper,492809,3921,325000,385379
1997,Bothnian Bay,51583,3092,57622,52043
1998,Bothnian Bay,77388,4198,57622,59231
1999,Bothnian Bay,59661,3445,57622,62877
2000,Bothnian Bay,81733,4349,57622,72927
2001,Bothnian Bay,62995,3585,57622,68130
2002,Bothnian Bay,46514,2829,57622,63747
2003,Bothnian Bay,46184,2305,57622,51898
2004,Bothnian Bay,64260,3505,57622,52319
2005,Bothnian Bay,68522,3701,57622,59655
2006,Bothnian Bay,60551,2902,57622,64444
2007,Bothnian Bay,65282,3613,57622,64785
2008,Bothnian Bay,69470,3941,57622,65101
2009,Bothnian Bay,46687,2802,57622,60480
2010,Bothnian Bay,52941,3135,57622,56366
2011,Bothnian Bay,61439,3466,57622,53689
2012,Bothnian Bay,81409,4460,57622,65263
2013,Bothnian Bay,52435,3276,57622,65094
2014,Bothnian Bay,51181,3101,57622,61675
2015,Bothnian Bay,77876,4486,57622,60497
2016,Bothnian Bay,60756,4023,57622,63271
2017,Bothnian Bay,55644,3584,57622,64759
1997,Bothnian Sea,77350,2779,79372,81033
1998,Bothnian Sea,102700,3846,79372,85453
1999,Bothnian Sea,90350,2907,79372,90133
2000,Bothnian Sea,123900,3981,79372,105650
2001,Bothnian Sea,96517,3762,79372,103589
2002,Bothnian Sea,69389,2523,79372,96602
2003,Bothnian Sea,69160,2074,79372,78355
2004,Bothnian Sea,79582,2531,79372,72710
2005,Bothnian Sea,84066,3015,79372,77603
2006,Bothnian Sea,90803,2825,79372,84817
2007,Bothnian Sea,78893,2713,79372,84587
2008,Bothnian Sea,93002,3054,79372,87566
2009,Bothnian Sea,70178,2943,79372,80691
2010,Bothnian Sea,75650,2914,79372,79610
2011,Bothnian Sea,83305,3077,79372,76378
2012,Bothnian Sea,94255,3661,79372,84403
2013,Bothnian Sea,67211,2526,79372,81590
2014,Bothnian Sea,68107,2667,79372,76524
2015,Bothnian Sea,77106,3277,79372,70808
2016,Bothnian Sea,59218,2371,79372,68144
2017,Bothnian Sea,64374,2639,79372,66899
1997,Danish Straits,55549,130,65998,67075
1998,Danish Straits,99511,279,65998,69526
1999,Danish Straits,86588,268,65998,80549
2000,Danish Straits,76838,219,65998,87646
2001,Danish Straits,66589,205,65998,76672
2002,Danish Straits,86812,321,65998,76746
2003,Danish Straits,48869,143,65998,67423
