region_id,indicator_status
1,100
2,100
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,10
15,10
16,10
17,10
18,76.4
19,76.4
20,76.4
21,76.4
22,76.4
23,76.39999999999999
24,76.39999999999999
25,76.4
26,10
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
