"year","pcb153","unit","subbasin"
1990,3.054,"kg/year","Aland Sea"
1991,2.914,"kg/year","Aland Sea"
1992,2.813,"kg/year","Aland Sea"
1993,2.604,"kg/year","Aland Sea"
1994,2.586,"kg/year","Aland Sea"
1995,2.711,"kg/year","Aland Sea"
1996,2.522,"kg/year","Aland Sea"
1997,2.444,"kg/year","Aland Sea"
1998,2.668,"kg/year","Aland Sea"
1999,2.736,"kg/year","Aland Sea"
2000,2.628,"kg/year","Aland Sea"
2001,2.211,"kg/year","Aland Sea"
2002,1.956,"kg/year","Aland Sea"
2003,1.914,"kg/year","Aland Sea"
2004,1.892,"kg/year","Aland Sea"
2005,2.004,"kg/year","Aland Sea"
2006,2.063,"kg/year","Aland Sea"
2007,1.873,"kg/year","Aland Sea"
2008,1.856,"kg/year","Aland Sea"
2009,1.542,"kg/year","Aland Sea"
2010,1.828,"kg/year","Aland Sea"
2011,1.766,"kg/year","Aland Sea"
2012,1.726,"kg/year","Aland Sea"
2013,1.602,"kg/year","Aland Sea"
2014,1.758,"kg/year","Aland Sea"
2015,1.583,"kg/year","Aland Sea"
2016,1.568,"kg/year","Aland Sea"
1990,5.209,"kg/year","Bothnian Bay"
1991,5.055,"kg/year","Bothnian Bay"
1992,5.075,"kg/year","Bothnian Bay"
1993,4.788,"kg/year","Bothnian Bay"
1994,4.784,"kg/year","Bothnian Bay"
1995,5.202,"kg/year","Bothnian Bay"
1996,4.601,"kg/year","Bothnian Bay"
1997,4.668,"kg/year","Bothnian Bay"
1998,5.057,"kg/year","Bothnian Bay"
1999,5.105,"kg/year","Bothnian Bay"
2000,5.067,"kg/year","Bothnian Bay"
2001,4.566,"kg/year","Bothnian Bay"
2002,4.358,"kg/year","Bothnian Bay"
2003,4.344,"kg/year","Bothnian Bay"
2004,4.123,"kg/year","Bothnian Bay"
2005,4.431,"kg/year","Bothnian Bay"
2006,4.338,"kg/year","Bothnian Bay"
2007,3.965,"kg/year","Bothnian Bay"
2008,3.877,"kg/year","Bothnian Bay"
2009,3.419,"kg/year","Bothnian Bay"
2010,3.89,"kg/year","Bothnian Bay"
2011,3.916,"kg/year","Bothnian Bay"
2012,3.605,"kg/year","Bothnian Bay"
2013,3.477,"kg/year","Bothnian Bay"
2014,3.786,"kg/year","Bothnian Bay"
2015,3.374,"kg/year","Bothnian Bay"
2016,3.392,"kg/year","Bothnian Bay"
1990,6.557,"kg/year","Bothnian Sea"
1990,6.557,"kg/year","The Quark"
1991,6.264,"kg/year","Bothnian Sea"
1991,6.264,"kg/year","The Quark"
1992,6.448,"kg/year","Bothnian Sea"
1992,6.448,"kg/year","The Quark"
1993,5.971,"kg/year","Bothnian Sea"
1993,5.971,"kg/year","The Quark"
1994,5.729,"kg/year","Bothnian Sea"
1994,5.729,"kg/year","The Quark"
1995,6.206,"kg/year","Bothnian Sea"
1995,6.206,"kg/year","The Quark"
1996,5.537,"kg/year","Bothnian Sea"
1996,5.537,"kg/year","The Quark"
1997,5.604,"kg/year","Bothnian Sea"
1997,5.604,"kg/year","The Quark"
1998,5.928,"kg/year","Bothnian Sea"
1998,5.928,"kg/year","The Quark"
1999,6.089,"kg/year","Bothnian Sea"
1999,6.089,"kg/year","The Quark"
2000,5.754,"kg/year","Bothnian Sea"
2000,5.754,"kg/year","The Quark"
2001,5.113,"kg/year","Bothnian Sea"
2001,5.113,"kg/year","The Quark"
2002,4.752,"kg/year","Bothnian Sea"
2002,4.752,"kg/year","The Quark"
2003,4.515,"kg/year","Bothnian Sea"
2003,4.515,"kg/year","The Quark"
2004,4.326,"kg/year","Bothnian Sea"
2004,4.326,"kg/year","The Quark"
2005,4.554,"kg/year","Bothnian Sea"
2005,4.554,"kg/year","The Quark"
2006,4.797,"kg/year","Bothnian Sea"
2006,4.797,"kg/year","The Quark"
2007,3.981,"kg/year","Bothnian Sea"
2007,3.981,"kg/year","The Quark"
2008,4.023,"kg/year","Bothnian Sea"
2008,4.023,"kg/year","The Quark"
2009,3.556,"kg/year","Bothnian Sea"
2009,3.556,"kg/year","The Quark"
2010,3.908,"kg/year","Bothnian Sea"
2010,3.908,"kg/year","The Quark"
2011,4.058,"kg/year","Bothnian Sea"
2011,4.058,"kg/year","The Quark"
2012,3.797,"kg/year","Bothnian Sea"
2012,3.797,"kg/year","The Quark"
2013,3.548,"kg/year","Bothnian Sea"
2013,3.548,"kg/year","The Quark"
2014,4.217,"kg/year","Bothnian Sea"
2014,4.217,"kg/year","The Quark"
2015,3.454,"kg/year","Bothnian Sea"
2015,3.454,"kg/year","The Quark"
2016,3.395,"kg/year","Bothnian Sea"
2016,3.395,"kg/year","The Quark"
1990,40.246,"kg/year","Arkona Basin"
1990,40.246,"kg/year","Bornholm Basin"
1990,40.246,"kg/year","Eastern Gotland Basin"
