"region_id","score","dimension","indicator","scen_year"
11,NA,"status","oxydebt",2019
12,NA,"status","oxydebt",2019
13,NA,"status","oxydebt",2019
14,79.27,"status","oxydebt",2019
15,79.27,"status","oxydebt",2019
16,79.27,"status","oxydebt",2019
17,79.27,"status","oxydebt",2019
18,71.72,"status","oxydebt",2019
19,71.72,"status","oxydebt",2019
20,71.72,"status","oxydebt",2019
21,71.72,"status","oxydebt",2019
22,71.72,"status","oxydebt",2019
23,71.72,"status","oxydebt",2019
24,71.72,"status","oxydebt",2019
25,71.72,"status","oxydebt",2019
26,71.72,"status","oxydebt",2019
29,71.72,"status","oxydebt",2019
30,71.72,"status","oxydebt",2019
31,71.72,"status","oxydebt",2019
32,71.72,"status","oxydebt",2019
33,71.72,"status","oxydebt",2019
34,71.72,"status","oxydebt",2019
35,NA,"status","oxydebt",2019
37,NA,"status","oxydebt",2019
38,NA,"status","oxydebt",2019
41,NA,"status","oxydebt",2019
42,NA,"status","oxydebt",2019
1,NA,"status","oxydebt",2019
2,NA,"status","oxydebt",2019
3,NA,"status","oxydebt",2019
4,NA,"status","oxydebt",2019
5,NA,"status","oxydebt",2019
6,NA,"status","oxydebt",2019
7,NA,"status","oxydebt",2019
8,NA,"status","oxydebt",2019
9,NA,"status","oxydebt",2019
10,NA,"status","oxydebt",2019
27,NA,"status","oxydebt",2019
28,NA,"status","oxydebt",2019
36,NA,"status","oxydebt",2019
39,NA,"status","oxydebt",2019
40,NA,"status","oxydebt",2019
11,NA,"trend","oxydebt",2019
12,NA,"trend","oxydebt",2019
13,NA,"trend","oxydebt",2019
14,-0.1,"trend","oxydebt",2019
15,-0.1,"trend","oxydebt",2019
16,-0.1,"trend","oxydebt",2019
17,-0.1,"trend","oxydebt",2019
18,-0.063,"trend","oxydebt",2019
19,-0.063,"trend","oxydebt",2019
20,-0.063,"trend","oxydebt",2019
21,-0.063,"trend","oxydebt",2019
22,-0.063,"trend","oxydebt",2019
23,-0.063,"trend","oxydebt",2019
24,-0.063,"trend","oxydebt",2019
25,-0.063,"trend","oxydebt",2019
26,-0.063,"trend","oxydebt",2019
29,-0.063,"trend","oxydebt",2019
30,-0.063,"trend","oxydebt",2019
31,-0.063,"trend","oxydebt",2019
32,-0.063,"trend","oxydebt",2019
33,-0.063,"trend","oxydebt",2019
34,-0.063,"trend","oxydebt",2019
35,NA,"trend","oxydebt",2019
36,NA,"trend","oxydebt",2019
37,NA,"trend","oxydebt",2019
38,NA,"trend","oxydebt",2019
41,NA,"trend","oxydebt",2019
42,NA,"trend","oxydebt",2019
1,NA,"trend","oxydebt",2019
2,NA,"trend","oxydebt",2019
3,NA,"trend","oxydebt",2019
4,NA,"trend","oxydebt",2019
5,NA,"trend","oxydebt",2019
6,NA,"trend","oxydebt",2019
7,NA,"trend","oxydebt",2019
8,NA,"trend","oxydebt",2019
9,NA,"trend","oxydebt",2019
10,NA,"trend","oxydebt",2019
27,NA,"trend","oxydebt",2019
28,NA,"trend","oxydebt",2019
39,NA,"trend","oxydebt",2019
40,NA,"trend","oxydebt",2019
