goal,element,element_name,sp_invasives,cc_sal_surf,cc_sst,hab_oxygen_debt,hab_illegal_oil,hab_bottom_trawl,po_atmos_pcb153,po_atmos_pcdd,po_nload,po_pload,po_inverse_secchi,ss_wgi
AO,,,,2,2,,,,2,2,2,2,,
CS,,,,2,2,,,,1,1,2,2,,
CON,,,,,,,2,,3,3,,,,
EUT,,,,,,,,,,,3,3,,
TRA,,,,,,,,,,,,,,1
ECO,,,,,,,,,,,,,,1
FIS,,,,2,2,2,2,,2,2,2,2,,
ICO,,,2,2,2,2,2,,2,2,,,,
LIV,,,,,,,,,,,,,,1
LSP,,,,,,,2,,,,,,2,1
MAR,,,,2,2,,1,,2,2,1,1,,
BD,,,2,2,2,2,,3,2,2,3,3,,
TR,,,,,2,,,,,,,,2,1
NP,,,,,,2,2,,2,2,2,2,,
