goal,element,wgi_all,res_biodiversity,res_reg_bsap,res_reg_cfp,res_reg_cop21,res_reg_msfd,res_reg_wfd,res_reg_birds,res_reg_hd,res_reg_helcom,res_reg_mspd,res_reg_reach,res_reg_cbd,res_reg_cites,res_reg_nd,res_reg_uwwtd,res_reg_ied,res_reg_bwd,res_reg_nec,res_reg_pop
FIS,,x,x,x,x,x,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,,x,NA,x,x,x,x,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA
NP,,x,x,x,x,x,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA
AO,,x,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS,,x,NA,x,NA,x,x,x,NA,NA,NA,x,NA,NA,NA,x,x,x,NA,NA,NA
TR,,x,NA,NA,x,NA,x,x,x,NA,NA,x,x,NA,NA,NA,NA,NA,x,NA,NA
LIV,,x,NA,x,NA,x,x,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA
ECO,,x,NA,x,NA,x,x,x,x,NA,NA,x,x,NA,NA,NA,NA,NA,NA,x,NA
ICO,,x,x,x,x,x,x,x,x,x,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA
LSP,,x,NA,x,x,x,x,x,x,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUT,,x,NA,x,NA,x,x,x,NA,NA,x,NA,x,NA,NA,x,x,x,x,x,NA
TRA,,x,NA,x,NA,NA,x,NA,NA,NA,x,NA,x,NA,NA,NA,NA,x,x,NA,NA
CON,,x,NA,x,NA,NA,x,x,x,NA,x,NA,x,NA,NA,NA,x,x,x,x,x
BD,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,NA,NA,NA,NA
