goal,element,element_name,sp_invasives,cc_sal_surf,cc_sal_deep,cc_sst,fp_over_harvest,hab_anoxia,hab_illegal_oil,hab_bottom_trawl,po_nload,po_atmos_pcb153,po_pload,po_inverse_secchi,po_trash,ss_wgi
AO,,,,2,,2,3,,,,2,2,2,,2,1
CS,,,,2,2,2,,,,,2,1,2,,,1
CON,,,,,,,,,2,,,3,,,,1
EUT,,,,,,, ,,,,3,,3,,,1
TRA,,,,,,,,,,,,,,,3,1
ECO,,,,,,,2,,,,,,,,1,1
FIS,,,,2,2,2,3,2,2,,2,2,2,,2,1
ICO,,,2,2,2,2,2,2,2,,,2,,,,1
LIV,,,,,,,2,,,,,,,,2,1
LSP,,,,,,,,,2,,,,,2,2,1
MAR,,,,2,2,2,,,1,,1,2,1,,,1
BD,,,2,2,2,2,2,2,,3,3,2,3,,2,1
TR,,,,,,2,,,,,,,,2,3,1
NP,,,,,,,3,2,2,,2,2,2,,2,1
