goal,element,res_biodiversity,res_reg_birds,res_reg_bsap,res_reg_bwd,res_reg_cbd,res_reg_cfp,res_reg_cites,res_reg_cop21,res_reg_hd,res_reg_helcom,res_reg_ied,res_reg_msfd,res_reg_mspd,res_reg_nd,res_reg_nec,res_reg_pop,res_reg_reach,res_reg_uwwtd,res_reg_wfd,wgi_all
AO,,x,,x,,,x,,x,,,,x,,,,,,,x,x
CS,,,,x,,,,,x,,,x,x,x,x,,,,x,x,x
CON,,,x,x,x,,,,,,x,x,x,,,x,x,x,x,x,x
EUT,,,,x,x,,,,x,,x,x,x,,x,x,,x,x,x,x
TRA,,,,x,x,,,,,,x,x,x,,,,,x,,,x
ECO,,,x,x,,,,,x,,,,x,x,,x,,x,,x,x
FIS,,x,x,x,,,x,,x,x,x,,x,x,,,,,,x,x
ICO,,x,x,x,,x,x,x,x,x,,,x,x,,,,,,x,x
LIV,,,,x,,,,,x,,,,x,x,,,,x,,x,x
LSP,,,x,x,,,x,,x,x,,,x,x,,,,,,x,x
MAR,,,,x,,,x,,x,,,,x,x,,,,x,,,x
BD,,x,x,x,,x,x,x,x,x,x,,x,x,x,,,x,x,x,x
TR,,,x,,x,,x,,,,,,x,x,,,,x,,x,x
NP,,x,x,x,,,x,,x,x,x,,x,x,,,,,,x,x
