rgn_id,dimension,score,year
1,trend,-0.08,2014
2,trend,-0.08,2014
3,trend,-0.01,2014
4,trend,-0.01,2014
5,trend,-0.05,2014
6,trend,-0.05,2014
7,trend,NA,2014
8,trend,NA,2014
9,trend,NA,2014
10,trend,NA,2014
11,trend,0.16,2014
12,trend,0.16,2014
13,trend,0.16,2014
14,trend,0.06,2014
15,trend,0.06,2014
16,trend,0.06,2014
17,trend,0.06,2014
18,trend,NA,2014
19,trend,NA,2014
20,trend,0.07,2014
21,trend,0.07,2014
22,trend,0.07,2014
23,trend,0.07,2014
24,trend,0.07,2014
25,trend,0.07,2014
26,trend,-0.01,2014
27,trend,0.17,2014
28,trend,0.17,2014
29,trend,-0.06,2014
30,trend,-0.06,2014
31,trend,-0.06,2014
32,trend,0.17,2014
33,trend,NA,2014
34,trend,NA,2014
35,trend,0.13,2014
36,trend,0.13,2014
37,trend,0.06,2014
38,trend,0.06,2014
39,trend,0.03,2014
40,trend,0.03,2014
41,trend,0.11,2014
42,trend,0.11,2014
