rgn_id,species,sust_coeff,year
1,Rainbow Trout,0.53,2014
2,Rainbow Trout,0.53,2014
3,Rainbow Trout,0.53,2014
4,Rainbow Trout,0.53,2014
5,Rainbow Trout,0.53,2014
6,Rainbow Trout,0.53,2014
7,Rainbow Trout,0.53,2014
8,Rainbow Trout,0.53,2014
9,Rainbow Trout,0.53,2014
10,Rainbow Trout,0.53,2014
11,Rainbow Trout,0.53,2014
12,Rainbow Trout,0.53,2014
13,Rainbow Trout,0.53,2014
14,Rainbow Trout,0.53,2014
15,Rainbow Trout,0.53,2014
16,Rainbow Trout,0.53,2014
26,Rainbow Trout,0.53,2014
29,Rainbow Trout,0.53,2014
32,Rainbow Trout,0.53,2014
35,Rainbow Trout,0.53,2014
36,Rainbow Trout,0.53,2014
37,Rainbow Trout,0.53,2014
38,Rainbow Trout,0.53,2014
39,Rainbow Trout,0.53,2014
40,Rainbow Trout,0.53,2014
41,Rainbow Trout,0.53,2014
42,Rainbow Trout,0.53,2014
