rgn_id,year,multiplier
1,2015,1
1,2016,1
1,2017,1
1,2018,1
2,2015,1
2,2016,1
2,2017,1
2,2018,1
3,2015,1
3,2016,1
3,2017,1
3,2018,1
4,2015,1
4,2016,1
4,2017,1
4,2018,1
5,2015,1
5,2016,1
5,2017,1
5,2018,1
6,2015,1
6,2016,1
6,2017,1
6,2018,1
7,2015,1
7,2016,1
7,2017,1
7,2018,1
8,2015,1
8,2016,1
8,2017,1
8,2018,1
9,2015,1
9,2016,1
9,2017,1
9,2018,1
10,2015,1
10,2016,1
10,2017,1
10,2018,1
11,2015,1
11,2016,1
11,2017,1
11,2018,1
12,2015,1
12,2016,1
12,2017,1
12,2018,1
13,2015,1
13,2016,1
13,2017,1
13,2018,1
14,2015,1
14,2016,1
14,2017,1
14,2018,1
15,2015,1
15,2016,1
15,2017,1
15,2018,1
16,2015,1
16,2016,1
16,2017,1
16,2018,1
17,2015,1
17,2016,1
17,2017,1
17,2018,1
18,2015,1
18,2016,1
18,2017,1
18,2018,1
19,2015,1
19,2016,1
19,2017,1
19,2018,1
20,2015,1
20,2016,1
20,2017,1
20,2018,1
21,2015,1
21,2016,1
21,2017,1
21,2018,1
22,2015,1
22,2016,1
22,2017,1
22,2018,1
23,2015,1
23,2016,1
23,2017,1
23,2018,1
24,2015,1
24,2016,1
24,2017,1
24,2018,1
25,2015,1
25,2016,1
25,2017,1
25,2018,1
26,2015,1
26,2016,1
26,2017,1
26,2018,1
27,2015,1
27,2016,1
27,2017,1
27,2018,1
28,2015,1
28,2016,1
28,2017,1
28,2018,1
29,2015,1
29,2016,1
29,2017,1
29,2018,1
30,2015,1
30,2016,1
30,2017,1
30,2018,1
31,2015,1
31,2016,1
31,2017,1
31,2018,1
32,2015,1
32,2016,1
32,2017,1
32,2018,1
33,2015,1
33,2016,1
33,2017,1
33,2018,1
34,2015,1
34,2016,1
34,2017,1
34,2018,1
35,2015,1
35,2016,1
35,2017,1
35,2018,1
36,2015,1
36,2016,1
36,2017,1
36,2018,1
37,2015,1
37,2016,1
37,2017,1
37,2018,1
38,2015,1
38,2016,1
38,2017,1
38,2018,1
39,2015,1
39,2016,1
39,2017,1
39,2018,1
40,2015,1
40,2016,1
40,2017,1
40,2018,1
41,2015,1
41,2016,1
41,2017,1
41,2018,1
42,2015,1
42,2016,1
42,2017,1
42,2018,1
