rgn_id,year,S_score
1,2017,4.55
2,2017,4.55
3,2017,4.55
4,2017,4.55
5,2017,4.55
6,2017,4.55
7,2017,4.55
8,2017,4.55
9,2017,4.55
10,2017,4.55
11,2017,4.55
12,2017,4.55
13,2017,4.55
14,2017,4.55
15,2017,4.55
16,2017,4.55
17,2017,4.55
18,2017,4.55
19,2017,4.55
20,2017,4.55
21,2017,4.55
22,2017,4.55
23,2017,4.55
24,2017,4.55
25,2017,4.55
26,2017,4.55
27,2017,4.55
28,2017,4.55
29,2017,4.55
30,2017,4.55
31,2017,4.55
32,2017,4.55
33,2017,4.55
34,2017,4.55
35,2017,4.55
36,2017,4.55
37,2017,4.55
38,2017,4.55
39,2017,4.55
40,2017,4.55
41,2017,4.55
42,2017,4.55
