rgn_id,w_fis,year
1,0,2014
2,0,2014
3,0.992450068491774,2014
4,0.999990503411165,2014
5,0.999883193142743,2014
6,0.999633313729591,2014
7,0.996803850516883,2014
8,0.999990503411165,2014
9,0.996803850516883,2014
10,0.999990503411165,2014
11,0.999883193142743,2014
12,0.995965672627955,2014
13,0.999988990059604,2014
14,0.999919703086539,2014
15,0.999738903389823,2014
16,0.999988990059604,2014
17,1,2014
18,1,2014
19,1,2014
20,1,2014
21,1,2014
22,1,2014
23,1,2014
24,1,2014
25,1,2014
26,0.999918674035111,2014
27,1,2014
28,1,2014
29,0.999918674035111,2014
30,1,2014
31,1,2014
32,0.999265878480234,2014
33,1,2014
34,1,2014
35,0.999918674035111,2014
36,0.988022197064047,2014
37,0.998986281998306,2014
38,0.99711764432707,2014
39,0.998788546076977,2014
40,0.999696779714633,2014
41,0.998788546076977,2014
42,0.999214501246718,2014
