rgn_id,pressure_score,year
1,0,2014
2,0,2014
3,0.0600000000000001,2014
4,0.0600000000000001,2014
5,NA,2014
6,NA,2014
7,0.19,2014
8,0.19,2014
9,0.13,2014
10,0.13,2014
11,0.07,2014
12,0.07,2014
13,0.07,2014
14,0,2014
15,0,2014
16,0,2014
17,0,2014
18,0.17,2014
19,0.17,2014
20,0.08,2014
21,0.08,2014
22,0.08,2014
23,0.08,2014
24,0.08,2014
25,0.08,2014
26,0.35,2014
27,0.3,2014
28,0.3,2014
29,0.24,2014
30,0.24,2014
31,0.24,2014
32,0.11,2014
33,0.11,2014
34,0.11,2014
35,0.28,2014
36,0.28,2014
37,NA,2014
38,0.29,2014
39,0.03,2014
40,0.03,2014
41,0.22,2014
42,0.22,2014
