rgn_id,year,trend
40,2014,0.0419
40,2015,0.0414
41,2009,0.0399
41,2010,0.0394
41,2011,0.0398
41,2012,0.0407
41,2013,0.0415
41,2014,0.0419
41,2015,0.0414
42,2009,0.0399
42,2010,0.0394
42,2011,0.0398
42,2012,0.0407
42,2013,0.0415
42,2014,0.0419
42,2015,0.0414
