rgn_id,popsum,year
1,852713,2014
2,1754535,2014
3,1971018,2014
4,191278,2014
5,801791,2014
6,1381111,2014
7,24035,2014
8,654326,2014
9,33074,2014
10,1239349,2014
11,406098,2014
12,1351142,2014
13,387825,2014
14,340234,2014
15,44406,2014
16,209503,2014
17,1262943,2014
18,1326260,2014
19,610658,2014
20,29841,2014
21,151434,2014
22,278439,2014
23,330744,2014
24,137145,2014
25,6086,2014
26,334929,2014
27,482785,2014
28,164093,2014
29,2223796,2014
30,4102,2014
31,13805,2014
32,1445586,2014
33,5145329,2014
34,785433,2014
35,114662,2014
36,460420,2014
37,545443,2014
38,255680,2014
39,132258,2014
40,131682,2014
41,261579,2014
42,377701,2014
