rgn_id,year,value
1,2013,0.484
2,2013,0.484
3,2013,0.484
4,2013,0.484
5,2013,0.484
6,2013,0.484
7,2013,0.484
8,2013,0.484
9,2013,0.484
10,2013,0.484
11,2013,0.484
12,2013,0.484
13,2013,0.484
14,2013,0.484
15,2013,0.484
16,2013,0.484
17,2013,0.484
18,2013,0.484
19,2013,0.484
20,2013,0.484
21,2013,0.484
22,2013,0.484
23,2013,0.484
24,2013,0.484
25,2013,0.484
26,2013,0.484
27,2013,0.484
28,2013,0.484
29,2013,0.484
30,2013,0.484
31,2013,0.484
32,2013,0.484
33,2013,0.484
34,2013,0.484
35,2013,0.484
36,2013,0.484
37,2013,0.484
38,2013,0.484
39,2013,0.484
40,2013,0.484
41,2013,0.484
42,2013,0.484
