rgn_id,type,label
1,eez,Swe - Kattegat
2,eez,Den - Kattegat
3,eez,Den - Great Belt
4,eez,Ger - Great Belt
5,eez,Swe - The Sound
6,eez,Den - The Sound
7,eez,Den - Kiel Bay
8,eez,Ger - Kiel Bay
9,eez,Den - Bay of Mecklenburg
10,eez,Ger - Bay of Mecklenburg
11,eez,Swe - Arkona Basin
12,eez,Den - Arkona Basin
13,eez,Ger - Arkona Basin
14,eez,Swe - Bornholm Basin
15,eez,Den - Bornholm Basin
16,eez,Ger - Bornholm Basin
17,eez,Pol - Bornholm Basin
18,eez,Pol - Gdansk Basin
19,eez,Rus - Gdansk Basin
20,eez,Swe - Eastern Gotland Basin
21,eez,Pol - Eastern Gotland Basin
22,eez,Rus - Eastern Gotland Basin
23,eez,Lit - Eastern Gotland Basin
24,eez,Lat - Eastern Gotland Basin
25,eez,Est - Eastern Gotland Basin
26,eez,Swe - Western Gotland Basin
27,eez,Lat - Gulf of Riga
28,eez,Est - Gulf of Riga
29,eez,Swe - Northern Baltic Proper
30,eez,Fin - Northern Baltic Proper
31,eez,Est - Northern Baltic Proper
32,eez,Fin - Gulf of Finland
33,eez,Rus - Gulf of Finland
34,eez,Est - Gulf of Finland
35,eez,Swe - Aland Sea
36,eez,Fin - Aland Sea
37,eez,Swe - Bothnian Sea
38,eez,Fin - Bothnian Sea
39,eez,Swe - The Quark
40,eez,Fin - The Quark
41,eez,Swe - Bothnian Bay
42,eez,Fin - Bothnian Bay
