rgn_id,trend,year
1,0.00634518,2014
2,7.768e-4,2014
3,7.768e-4,2014
4,-0.00738226,2014
5,0.00634518,2014
6,7.768e-4,2014
7,7.768e-4,2014
8,-0.00738226,2014
9,7.768e-4,2014
10,-0.00738226,2014
11,0.00634518,2014
12,7.768e-4,2014
13,-0.00738226,2014
14,0.00634518,2014
15,7.768e-4,2014
16,NA,2014
17,0.00411374,2014
18,0.00411374,2014
19,-0.127109,2014
20,0.00634518,2014
21,0.00411374,2014
22,-0.127109,2014
23,-0.0110629,2014
24,-0.0395615,2014
25,-0.0564627,2014
26,0.00634518,2014
27,-0.0395615,2014
28,-0.0564627,2014
29,0.00634518,2014
30,-0.0473734,2014
31,-0.0564627,2014
32,-0.0473734,2014
33,-0.127109,2014
34,-0.0564627,2014
35,0.00634518,2014
36,-0.0473734,2014
37,0.00634518,2014
38,-0.0473734,2014
39,0.00634518,2014
40,NA,2014
41,0.00634518,2014
42,NA,2014
