rgn_id,year,trend
1,2012,-0.0024
1,2013,-0.0019
1,2014,-0.0025
1,2015,-0.0026
1,2016,-0.0013
2,2012,-0.0024
2,2013,-0.0019
2,2014,-0.0025
2,2015,-0.0026
2,2016,-0.0013
3,2012,-0.0024
3,2013,-0.0019
3,2014,-0.0025
3,2015,-0.0026
3,2016,-0.0013
4,2012,-0.0024
4,2013,-0.0019
4,2014,-0.0025
4,2015,-0.0026
4,2016,-0.0013
5,2012,-0.0024
5,2013,-0.0019
5,2014,-0.0025
5,2015,-0.0026
5,2016,-0.0013
6,2012,-0.0024
6,2013,-0.0019
6,2014,-0.0025
6,2015,-0.0026
6,2016,-0.0013
7,2012,-0.0024
7,2013,-0.0019
7,2014,-0.0025
7,2015,-0.0026
7,2016,-0.0013
8,2012,-0.0024
8,2013,-0.0019
8,2014,-0.0025
8,2015,-0.0026
8,2016,-0.0013
9,2012,-0.0024
9,2013,-0.0019
9,2014,-0.0025
9,2015,-0.0026
9,2016,-0.0013
10,2012,-0.0024
10,2013,-0.0019
10,2014,-0.0025
10,2015,-0.0026
10,2016,-0.0013
11,2012,-0.0024
11,2013,-0.0019
11,2014,-0.0025
11,2015,-0.0026
11,2016,-0.0013
12,2012,-0.0024
12,2013,-0.0019
12,2014,-0.0025
12,2015,-0.0026
12,2016,-0.0013
13,2012,-0.0024
13,2013,-0.0019
13,2014,-0.0025
13,2015,-0.0026
13,2016,-0.0013
14,2012,-0.0024
14,2013,-0.0019
14,2014,-0.0025
14,2015,-0.0026
14,2016,-0.0013
15,2012,-0.0024
15,2013,-0.0019
15,2014,-0.0025
15,2015,-0.0026
15,2016,-0.0013
16,2012,-0.0024
16,2013,-0.0019
16,2014,-0.0025
16,2015,-0.0026
16,2016,-0.0013
17,2012,-0.0024
17,2013,-0.0019
17,2014,-0.0025
17,2015,-0.0026
17,2016,-0.0013
18,2012,-0.0024
18,2013,-0.0019
18,2014,-0.0025
18,2015,-0.0026
18,2016,-0.0013
19,2012,-0.0024
19,2013,-0.0019
19,2014,-0.0025
19,2015,-0.0026
19,2016,-0.0013
20,2012,-0.0024
20,2013,-0.0019
20,2014,-0.0025
20,2015,-0.0026
20,2016,-0.0013
21,2012,-0.0024
21,2013,-0.0019
21,2014,-0.0025
21,2015,-0.0026
21,2016,-0.0013
22,2012,-0.0024
22,2013,-0.0019
22,2014,-0.0025
22,2015,-0.0026
22,2016,-0.0013
23,2012,-0.0024
23,2013,-0.0019
23,2014,-0.0025
23,2015,-0.0026
23,2016,-0.0013
24,2012,-0.0024
24,2013,-0.0019
24,2014,-0.0025
24,2015,-0.0026
24,2016,-0.0013
25,2012,-0.0024
25,2013,-0.0019
25,2014,-0.0025
25,2015,-0.0026
25,2016,-0.0013
26,2012,-0.0024
26,2013,-0.0019
26,2014,-0.0025
26,2015,-0.0026
26,2016,-0.0013
27,2012,-0.0024
27,2013,-0.0019
27,2014,-0.0025
27,2015,-0.0026
27,2016,-0.0013
28,2012,-0.0024
28,2013,-0.0019
28,2014,-0.0025
28,2015,-0.0026
28,2016,-0.0013
29,2012,-0.0024
29,2013,-0.0019
29,2014,-0.0025
29,2015,-0.0026
29,2016,-0.0013
30,2012,-0.0024
30,2013,-0.0019
30,2014,-0.0025
30,2015,-0.0026
30,2016,-0.0013
31,2012,-0.0024
31,2013,-0.0019
31,2014,-0.0025
31,2015,-0.0026
31,2016,-0.0013
32,2012,-0.0024
32,2013,-0.0019
32,2014,-0.0025
32,2015,-0.0026
32,2016,-0.0013
33,2012,-0.0024
33,2013,-0.0019
33,2014,-0.0025
33,2015,-0.0026
33,2016,-0.0013
34,2012,-0.0024
34,2013,-0.0019
34,2014,-0.0025
34,2015,-0.0026
34,2016,-0.0013
35,2012,-0.0024
35,2013,-0.0019
35,2014,-0.0025
35,2015,-0.0026
35,2016,-0.0013
36,2012,-0.0024
36,2013,-0.0019
36,2014,-0.0025
36,2015,-0.0026
36,2016,-0.0013
37,2012,-0.0024
37,2013,-0.0019
37,2014,-0.0025
37,2015,-0.0026
37,2016,-0.0013
38,2012,-0.0024
38,2013,-0.0019
38,2014,-0.0025
38,2015,-0.0026
38,2016,-0.0013
39,2012,-0.0024
39,2013,-0.0019
39,2014,-0.0025
39,2015,-0.0026
39,2016,-0.0013
40,2012,-0.0024
40,2013,-0.0019
40,2014,-0.0025
40,2015,-0.0026
40,2016,-0.0013
41,2012,-0.0024
41,2013,-0.0019
41,2014,-0.0025
41,2015,-0.0026
41,2016,-0.0013
42,2012,-0.0024
42,2013,-0.0019
42,2014,-0.0025
42,2015,-0.0026
42,2016,-0.0013
