"rgn_id","stock","year","landings"
3,"cod_2224",1994,21409
4,"cod_2224",1994,21409
5,"cod_2224",1994,21409
6,"cod_2224",1994,21409
7,"cod_2224",1994,21409
8,"cod_2224",1994,21409
9,"cod_2224",1994,21409
10,"cod_2224",1994,21409
11,"cod_2224",1994,21409
12,"cod_2224",1994,21409
13,"cod_2224",1994,21409
16,"cod_2224",1994,21409
3,"cod_2224",1995,29854
4,"cod_2224",1995,29854
5,"cod_2224",1995,29854
6,"cod_2224",1995,29854
7,"cod_2224",1995,29854
8,"cod_2224",1995,29854
9,"cod_2224",1995,29854
10,"cod_2224",1995,29854
11,"cod_2224",1995,29854
12,"cod_2224",1995,29854
13,"cod_2224",1995,29854
16,"cod_2224",1995,29854
3,"cod_2224",1996,38335
4,"cod_2224",1996,38335
5,"cod_2224",1996,38335
6,"cod_2224",1996,38335
7,"cod_2224",1996,38335
8,"cod_2224",1996,38335
9,"cod_2224",1996,38335
10,"cod_2224",1996,38335
11,"cod_2224",1996,38335
12,"cod_2224",1996,38335
13,"cod_2224",1996,38335
16,"cod_2224",1996,38335
3,"cod_2224",1997,37009
4,"cod_2224",1997,37009
5,"cod_2224",1997,37009
6,"cod_2224",1997,37009
7,"cod_2224",1997,37009
8,"cod_2224",1997,37009
9,"cod_2224",1997,37009
10,"cod_2224",1997,37009
11,"cod_2224",1997,37009
12,"cod_2224",1997,37009
13,"cod_2224",1997,37009
16,"cod_2224",1997,37009
3,"cod_2224",1998,29628
4,"cod_2224",1998,29628
5,"cod_2224",1998,29628
6,"cod_2224",1998,29628
7,"cod_2224",1998,29628
8,"cod_2224",1998,29628
9,"cod_2224",1998,29628
10,"cod_2224",1998,29628
11,"cod_2224",1998,29628
12,"cod_2224",1998,29628
13,"cod_2224",1998,29628
16,"cod_2224",1998,29628
3,"cod_2224",1999,35817
4,"cod_2224",1999,35817
5,"cod_2224",1999,35817
6,"cod_2224",1999,35817
7,"cod_2224",1999,35817
8,"cod_2224",1999,35817
9,"cod_2224",1999,35817
10,"cod_2224",1999,35817
11,"cod_2224",1999,35817
12,"cod_2224",1999,35817
13,"cod_2224",1999,35817
16,"cod_2224",1999,35817
3,"cod_2224",2000,31653
4,"cod_2224",2000,31653
5,"cod_2224",2000,31653
6,"cod_2224",2000,31653
7,"cod_2224",2000,31653
8,"cod_2224",2000,31653
9,"cod_2224",2000,31653
10,"cod_2224",2000,31653
11,"cod_2224",2000,31653
12,"cod_2224",2000,31653
13,"cod_2224",2000,31653
16,"cod_2224",2000,31653
3,"cod_2224",2001,26983
4,"cod_2224",2001,26983
5,"cod_2224",2001,26983
6,"cod_2224",2001,26983
7,"cod_2224",2001,26983
8,"cod_2224",2001,26983
9,"cod_2224",2001,26983
10,"cod_2224",2001,26983
11,"cod_2224",2001,26983
12,"cod_2224",2001,26983
13,"cod_2224",2001,26983
16,"cod_2224",2001,26983
3,"cod_2224",2002,19592
4,"cod_2224",2002,19592
5,"cod_2224",2002,19592
6,"cod_2224",2002,19592
7,"cod_2224",2002,19592
8,"cod_2224",2002,19592
9,"cod_2224",2002,19592
10,"cod_2224",2002,19592
11,"cod_2224",2002,19592
12,"cod_2224",2002,19592
13,"cod_2224",2002,19592
16,"cod_2224",2002,19592
3,"cod_2224",2003,18055
4,"cod_2224",2003,18055
5,"cod_2224",2003,18055
6,"cod_2224",2003,18055
7,"cod_2224",2003,18055
8,"cod_2224",2003,18055
9,"cod_2224",2003,18055
10,"cod_2224",2003,18055
11,"cod_2224",2003,18055
12,"cod_2224",2003,18055
13,"cod_2224",2003,18055
16,"cod_2224",2003,18055
3,"cod_2224",2004,15916
4,"cod_2224",2004,15916
5,"cod_2224",2004,15916
6,"cod_2224",2004,15916
7,"cod_2224",2004,15916
8,"cod_2224",2004,15916
9,"cod_2224",2004,15916
10,"cod_2224",2004,15916
11,"cod_2224",2004,15916
12,"cod_2224",2004,15916
13,"cod_2224",2004,15916
16,"cod_2224",2004,15916
3,"cod_2224",2005,16845
4,"cod_2224",2005,16845
5,"cod_2224",2005,16845
6,"cod_2224",2005,16845
7,"cod_2224",2005,16845
8,"cod_2224",2005,16845
9,"cod_2224",2005,16845
10,"cod_2224",2005,16845
11,"cod_2224",2005,16845
12,"cod_2224",2005,16845
13,"cod_2224",2005,16845
16,"cod_2224",2005,16845
3,"cod_2224",2006,16472
4,"cod_2224",2006,16472
5,"cod_2224",2006,16472
6,"cod_2224",2006,16472
7,"cod_2224",2006,16472
8,"cod_2224",2006,16472
9,"cod_2224",2006,16472
10,"cod_2224",2006,16472
11,"cod_2224",2006,16472
12,"cod_2224",2006,16472
13,"cod_2224",2006,16472
16,"cod_2224",2006,16472
3,"cod_2224",2007,15859
4,"cod_2224",2007,15859
5,"cod_2224",2007,15859
6,"cod_2224",2007,15859
7,"cod_2224",2007,15859
8,"cod_2224",2007,15859
9,"cod_2224",2007,15859
10,"cod_2224",2007,15859
11,"cod_2224",2007,15859
12,"cod_2224",2007,15859
13,"cod_2224",2007,15859
16,"cod_2224",2007,15859
3,"cod_2224",2008,11148
4,"cod_2224",2008,11148
5,"cod_2224",2008,11148
6,"cod_2224",2008,11148
7,"cod_2224",2008,11148
8,"cod_2224",2008,11148
9,"cod_2224",2008,11148
10,"cod_2224",2008,11148
11,"cod_2224",2008,11148
12,"cod_2224",2008,11148
13,"cod_2224",2008,11148
16,"cod_2224",2008,11148
3,"cod_2224",2009,7093
4,"cod_2224",2009,7093
5,"cod_2224",2009,7093
6,"cod_2224",2009,7093
7,"cod_2224",2009,7093
8,"cod_2224",2009,7093
9,"cod_2224",2009,7093
10,"cod_2224",2009,7093
11,"cod_2224",2009,7093
12,"cod_2224",2009,7093
13,"cod_2224",2009,7093
16,"cod_2224",2009,7093
3,"cod_2224",2010,7641
4,"cod_2224",2010,7641
5,"cod_2224",2010,7641
6,"cod_2224",2010,7641
7,"cod_2224",2010,7641
8,"cod_2224",2010,7641
9,"cod_2224",2010,7641
10,"cod_2224",2010,7641
11,"cod_2224",2010,7641
12,"cod_2224",2010,7641
13,"cod_2224",2010,7641
16,"cod_2224",2010,7641
3,"cod_2224",2011,8845
4,"cod_2224",2011,8845
5,"cod_2224",2011,8845
6,"cod_2224",2011,8845
7,"cod_2224",2011,8845
8,"cod_2224",2011,8845
9,"cod_2224",2011,8845
10,"cod_2224",2011,8845
11,"cod_2224",2011,8845
12,"cod_2224",2011,8845
13,"cod_2224",2011,8845
16,"cod_2224",2011,8845
3,"cod_2224",2012,8654
4,"cod_2224",2012,8654
5,"cod_2224",2012,8654
6,"cod_2224",2012,8654
7,"cod_2224",2012,8654
8,"cod_2224",2012,8654
9,"cod_2224",2012,8654
10,"cod_2224",2012,8654
11,"cod_2224",2012,8654
12,"cod_2224",2012,8654
13,"cod_2224",2012,8654
16,"cod_2224",2012,8654
3,"cod_2224",2013,7742
4,"cod_2224",2013,7742
5,"cod_2224",2013,7742
6,"cod_2224",2013,7742
7,"cod_2224",2013,7742
8,"cod_2224",2013,7742
9,"cod_2224",2013,7742
10,"cod_2224",2013,7742
11,"cod_2224",2013,7742
12,"cod_2224",2013,7742
13,"cod_2224",2013,7742
16,"cod_2224",2013,7742
3,"cod_2224",2014,8099
4,"cod_2224",2014,8099
5,"cod_2224",2014,8099
6,"cod_2224",2014,8099
7,"cod_2224",2014,8099
8,"cod_2224",2014,8099
9,"cod_2224",2014,8099
10,"cod_2224",2014,8099
11,"cod_2224",2014,8099
12,"cod_2224",2014,8099
13,"cod_2224",2014,8099
16,"cod_2224",2014,8099
14,"cod_2532",1994,100856
15,"cod_2532",1994,100856
17,"cod_2532",1994,100856
18,"cod_2532",1994,100856
19,"cod_2532",1994,100856
20,"cod_2532",1994,100856
21,"cod_2532",1994,100856
22,"cod_2532",1994,100856
23,"cod_2532",1994,100856
24,"cod_2532",1994,100856
25,"cod_2532",1994,100856
26,"cod_2532",1994,100856
27,"cod_2532",1994,100856
28,"cod_2532",1994,100856
29,"cod_2532",1994,100856
30,"cod_2532",1994,100856
31,"cod_2532",1994,100856
32,"cod_2532",1994,100856
33,"cod_2532",1994,100856
34,"cod_2532",1994,100856
35,"cod_2532",1994,100856
36,"cod_2532",1994,100856
37,"cod_2532",1994,100856
38,"cod_2532",1994,100856
39,"cod_2532",1994,100856
40,"cod_2532",1994,100856
41,"cod_2532",1994,100856
42,"cod_2532",1994,100856
14,"cod_2532",1995,107718
15,"cod_2532",1995,107718
17,"cod_2532",1995,107718
18,"cod_2532",1995,107718
19,"cod_2532",1995,107718
20,"cod_2532",1995,107718
21,"cod_2532",1995,107718
22,"cod_2532",1995,107718
23,"cod_2532",1995,107718
24,"cod_2532",1995,107718
25,"cod_2532",1995,107718
26,"cod_2532",1995,107718
27,"cod_2532",1995,107718
28,"cod_2532",1995,107718
29,"cod_2532",1995,107718
30,"cod_2532",1995,107718
31,"cod_2532",1995,107718
32,"cod_2532",1995,107718
33,"cod_2532",1995,107718
34,"cod_2532",1995,107718
35,"cod_2532",1995,107718
36,"cod_2532",1995,107718
37,"cod_2532",1995,107718
38,"cod_2532",1995,107718
39,"cod_2532",1995,107718
40,"cod_2532",1995,107718
41,"cod_2532",1995,107718
42,"cod_2532",1995,107718
14,"cod_2532",1996,124189
15,"cod_2532",1996,124189
17,"cod_2532",1996,124189
18,"cod_2532",1996,124189
19,"cod_2532",1996,124189
20,"cod_2532",1996,124189
21,"cod_2532",1996,124189
22,"cod_2532",1996,124189
23,"cod_2532",1996,124189
24,"cod_2532",1996,124189
25,"cod_2532",1996,124189
26,"cod_2532",1996,124189
27,"cod_2532",1996,124189
28,"cod_2532",1996,124189
29,"cod_2532",1996,124189
30,"cod_2532",1996,124189
31,"cod_2532",1996,124189
32,"cod_2532",1996,124189
33,"cod_2532",1996,124189
34,"cod_2532",1996,124189
35,"cod_2532",1996,124189
36,"cod_2532",1996,124189
37,"cod_2532",1996,124189
38,"cod_2532",1996,124189
39,"cod_2532",1996,124189
40,"cod_2532",1996,124189
41,"cod_2532",1996,124189
42,"cod_2532",1996,124189
14,"cod_2532",1997,88600
15,"cod_2532",1997,88600
17,"cod_2532",1997,88600
18,"cod_2532",1997,88600
19,"cod_2532",1997,88600
20,"cod_2532",1997,88600
21,"cod_2532",1997,88600
22,"cod_2532",1997,88600
23,"cod_2532",1997,88600
24,"cod_2532",1997,88600
25,"cod_2532",1997,88600
26,"cod_2532",1997,88600
27,"cod_2532",1997,88600
28,"cod_2532",1997,88600
29,"cod_2532",1997,88600
30,"cod_2532",1997,88600
31,"cod_2532",1997,88600
32,"cod_2532",1997,88600
33,"cod_2532",1997,88600
34,"cod_2532",1997,88600
35,"cod_2532",1997,88600
36,"cod_2532",1997,88600
37,"cod_2532",1997,88600
38,"cod_2532",1997,88600
39,"cod_2532",1997,88600
40,"cod_2532",1997,88600
41,"cod_2532",1997,88600
