rgn_id,score,dimension,year
1,0.015125000000000001,trend,2014
2,-0.11890344827586206,trend,2014
3,-0.11890344827586206,trend,2014
4,0.09169375,trend,2014
5,0.015125000000000001,trend,2014
6,-0.11890344827586206,trend,2014
7,-0.11890344827586206,trend,2014
8,0.09169375,trend,2014
9,-0.11890344827586206,trend,2014
10,0.09169375,trend,2014
11,0.015125000000000001,trend,2014
12,-0.11890344827586206,trend,2014
13,0.09169375,trend,2014
14,0.015125000000000001,trend,2014
15,-0.11890344827586206,trend,2014
16,0.09169375,trend,2014
17,-0.026195454545454546,trend,2014
18,-0.026195454545454546,trend,2014
19,NA,trend,2014
20,0.015125000000000001,trend,2014
21,-0.026195454545454546,trend,2014
22,NA,trend,2014
23,-0.1492857142857143,trend,2014
24,-0.16723749999999998,trend,2014
25,-0.14783529411764706,trend,2014
26,0.015125000000000001,trend,2014
27,-0.16723749999999998,trend,2014
28,-0.14783529411764706,trend,2014
29,0.015125000000000001,trend,2014
30,-0.06550689655172415,trend,2014
31,-0.14783529411764706,trend,2014
32,-0.06550689655172415,trend,2014
33,NA,trend,2014
34,-0.14783529411764706,trend,2014
35,0.015125000000000001,trend,2014
36,-0.06550689655172415,trend,2014
37,0.015125000000000001,trend,2014
38,-0.06550689655172415,trend,2014
39,0.015125000000000001,trend,2014
40,-0.06550689655172415,trend,2014
41,0.015125000000000001,trend,2014
42,-0.06550689655172415,trend,2014
