rgn_id,year,status
1,2012,100
1,2013,100
2,2012,100
2,2013,100
3,2012,100
3,2013,100
4,2012,100
4,2013,100
5,2012,100
5,2013,100
6,2012,100
6,2013,100
7,2012,100
7,2013,100
8,2012,100
8,2013,100
9,2012,100
9,2013,100
10,2012,100
10,2013,100
11,2012,100
11,2013,100
12,2012,100
12,2013,100
13,2012,100
13,2013,100
14,2012,100
14,2013,100
15,2012,100
15,2013,100
16,2012,100
16,2013,100
17,2012,100
17,2013,100
18,2012,100
18,2013,100
19,2012,100
19,2013,100
20,2012,100
20,2013,100
21,2012,100
21,2013,100
22,2012,100
22,2013,100
23,2012,100
23,2013,100
24,2012,100
24,2013,100
25,2012,100
25,2013,100
26,2012,100
26,2013,100
27,2012,100
27,2013,100
28,2012,100
28,2013,100
29,2012,100
29,2013,100
30,2012,100
30,2013,100
31,2012,100
31,2013,100
32,2012,100
32,2013,100
33,2012,100
33,2013,100
34,2012,100
34,2013,100
35,2012,100
35,2013,100
36,2012,100
36,2013,100
37,2012,100
37,2013,100
38,2012,100
38,2013,100
39,2012,100
39,2013,100
40,2012,100
40,2013,100
41,2012,100
41,2013,100
42,2012,100
42,2013,100
