region_id,pressure_score,year
1,0.020066841,2019
2,0.02018445,2019
3,0.055070907,2019
5,0.069171765,2019
6,0.06863143,2019
7,0.023087748,2019
8,0.020848612,2019
9,0.029255259,2019
10,0.020462336,2019
11,0.029069572,2019
12,0.024284344,2019
13,0.014863392,2019
14,0.010426487,2019
15,0.010390604,2019
16,0.012187063,2019
17,0.012530281,2019
18,0.031119202,2019
19,0.049738438,2019
20,0.006738101,2019
21,0.008135089,2019
22,0.022976329,2019
23,0.016635029,2019
24,0.008439598,2019
25,0.006434059,2019
26,0.009852479,2019
27,0.013825913,2019
28,0.016424912,2019
29,0.007988953,2019
30,0.005338969,2019
31,0.00760889,2019
32,0.021880022,2019
33,0.065863772,2019
34,0.017508782,2019
35,0.014054406,2019
36,0.017487832,2019
37,0.004759534,2019
38,0.004216802,2019
39,0.007343559,2019
40,0.009318724,2019
41,0.004705918,2019
42,0.006096634,2019
