region_id,year,employ_pop
4,2005,65.5
8,2005,65.5
10,2005,65.5
13,2005,65.5
16,2005,65.5
25,2005,64.8
28,2005,64.8
31,2005,64.8
34,2005,64.8
24,2005,62.1
27,2005,62.1
23,2005,62.9
17,2005,52.8
18,2005,52.8
21,2005,52.8
30,2005,68.4
32,2005,68.4
36,2005,68.4
38,2005,68.4
40,2005,68.4
42,2005,68.4
1,2005,72.5
5,2005,72.5
11,2005,72.5
14,2005,72.5
20,2005,72.5
26,2005,72.5
29,2005,72.5
35,2005,72.5
37,2005,72.5
39,2005,72.5
41,2005,72.5
4,2006,67.2
8,2006,67.2
10,2006,67.2
13,2006,67.2
16,2006,67.2
25,2006,68.4
28,2006,68.4
31,2006,68.4
34,2006,68.4
24,2006,65.9
27,2006,65.9
23,2006,63.6
17,2006,54.5
18,2006,54.5
21,2006,54.5
30,2006,69.3
32,2006,69.3
36,2006,69.3
38,2006,69.3
40,2006,69.3
42,2006,69.3
1,2006,73.1
5,2006,73.1
11,2006,73.1
14,2006,73.1
20,2006,73.1
26,2006,73.1
29,2006,73.1
35,2006,73.1
37,2006,73.1
39,2006,73.1
41,2006,73.1
4,2007,69
8,2007,69
10,2007,69
13,2007,69
16,2007,69
25,2007,69.8
28,2007,69.8
31,2007,69.8
34,2007,69.8
24,2007,68.1
27,2007,68.1
23,2007,65
17,2007,57
18,2007,57
21,2007,57
30,2007,70.3
32,2007,70.3
36,2007,70.3
38,2007,70.3
40,2007,70.3
42,2007,70.3
1,2007,74.2
5,2007,74.2
11,2007,74.2
14,2007,74.2
20,2007,74.2
26,2007,74.2
29,2007,74.2
35,2007,74.2
37,2007,74.2
39,2007,74.2
41,2007,74.2
2,2008,76.3
3,2008,76.3
6,2008,76.3
7,2008,76.3
9,2008,76.3
12,2008,76.3
15,2008,76.3
4,2008,70.1
8,2008,70.1
10,2008,70.1
13,2008,70.1
16,2008,70.1
25,2008,70.1
28,2008,70.1
31,2008,70.1
34,2008,70.1
24,2008,68.2
27,2008,68.2
23,2008,64.4
17,2008,59.2
18,2008,59.2
21,2008,59.2
30,2008,71.1
32,2008,71.1
36,2008,71.1
38,2008,71.1
40,2008,71.1
42,2008,71.1
1,2008,74.3
5,2008,74.3
11,2008,74.3
14,2008,74.3
20,2008,74.3
26,2008,74.3
29,2008,74.3
35,2008,74.3
37,2008,74.3
39,2008,74.3
41,2008,74.3
2,2009,73.5
3,2009,73.5
6,2009,73.5
7,2009,73.5
9,2009,73.5
12,2009,73.5
15,2009,73.5
4,2009,70.3
8,2009,70.3
10,2009,70.3
13,2009,70.3
16,2009,70.3
25,2009,63.8
28,2009,63.8
31,2009,63.8
34,2009,63.8
24,2009,60.3
27,2009,60.3
23,2009,59.9
17,2009,59.3
18,2009,59.3
21,2009,59.3
30,2009,68.7
32,2009,68.7
36,2009,68.7
38,2009,68.7
40,2009,68.7
42,2009,68.7
1,2009,72.2
5,2009,72.2
11,2009,72.2
14,2009,72.2
20,2009,72.2
26,2009,72.2
29,2009,72.2
35,2009,72.2
37,2009,72.2
39,2009,72.2
41,2009,72.2
2,2010,71.8
3,2010,71.8
6,2010,71.8
7,2010,71.8
9,2010,71.8
12,2010,71.8
15,2010,71.8
4,2010,71.3
8,2010,71.3
10,2010,71.3
13,2010,71.3
16,2010,71.3
25,2010,61.2
28,2010,61.2
31,2010,61.2
34,2010,61.2
24,2010,58.5
27,2010,58.5
23,2010,57.6
17,2010,58.9
18,2010,58.9
21,2010,58.9
30,2010,68.1
32,2010,68.1
36,2010,68.1
38,2010,68.1
40,2010,68.1
42,2010,68.1
1,2010,72.1
5,2010,72.1
11,2010,72.1
14,2010,72.1
20,2010,72.1
26,2010,72.1
29,2010,72.1
35,2010,72.1
37,2010,72.1
39,2010,72.1
41,2010,72.1
2,2011,71.6
3,2011,71.6
6,2011,71.6
7,2011,71.6
9,2011,71.6
12,2011,71.6
15,2011,71.6
4,2011,72.7
8,2011,72.7
10,2011,72.7
13,2011,72.7
16,2011,72.7
25,2011,65.3
28,2011,65.3
31,2011,65.3
34,2011,65.3
24,2011,60.8
27,2011,60.8
23,2011,60.2
17,2011,59.3
18,2011,59.3
21,2011,59.3
30,2011,69
32,2011,69
36,2011,69
38,2011,69
40,2011,69
42,2011,69
1,2011,73.6
5,2011,73.6
11,2011,73.6
14,2011,73.6
20,2011,73.6
26,2011,73.6
29,2011,73.6
35,2011,73.6
37,2011,73.6
39,2011,73.6
41,2011,73.6
2,2012,71
3,2012,71
6,2012,71
7,2012,71
9,2012,71
12,2012,71
15,2012,71
4,2012,73
8,2012,73
10,2012,73
13,2012,73
16,2012,73
25,2012,67.1
28,2012,67.1
31,2012,67.1
34,2012,67.1
24,2012,63
27,2012,63
23,2012,62
17,2012,59.7
18,2012,59.7
21,2012,59.7
30,2012,69.4
32,2012,69.4
36,2012,69.4
38,2012,69.4
40,2012,69.4
42,2012,69.4
1,2012,73.8
5,2012,73.8
11,2012,73.8
14,2012,73.8
20,2012,73.8
26,2012,73.8
29,2012,73.8
35,2012,73.8
37,2012,73.8
39,2012,73.8
41,2012,73.8
2,2013,70.7
3,2013,70.7
6,2013,70.7
7,2013,70.7
9,2013,70.7
12,2013,70.7
15,2013,70.7
4,2013,73.5
8,2013,73.5
10,2013,73.5
13,2013,73.5
16,2013,73.5
25,2013,68.5
28,2013,68.5
31,2013,68.5
34,2013,68.5
24,2013,65
27,2013,65
23,2013,63.7
17,2013,60
18,2013,60
21,2013,60
30,2013,68.9
32,2013,68.9
36,2013,68.9
38,2013,68.9
40,2013,68.9
42,2013,68.9
1,2013,74.4
5,2013,74.4
11,2013,74.4
14,2013,74.4
20,2013,74.4
26,2013,74.4
29,2013,74.4
35,2013,74.4
37,2013,74.4
39,2013,74.4
41,2013,74.4
2,2014,71.1
3,2014,71.1
6,2014,71.1
7,2014,71.1
9,2014,71.1
12,2014,71.1
15,2014,71.1
4,2014,73.8
8,2014,73.8
10,2014,73.8
13,2014,73.8
16,2014,73.8
25,2014,69.6
28,2014,69.6
31,2014,69.6
34,2014,69.6
24,2014,66.3
27,2014,66.3
23,2014,65.7
17,2014,61.7
18,2014,61.7
21,2014,61.7
30,2014,68.7
32,2014,68.7
36,2014,68.7
38,2014,68.7
40,2014,68.7
42,2014,68.7
1,2014,74.9
5,2014,74.9
11,2014,74.9
14,2014,74.9
20,2014,74.9
26,2014,74.9
29,2014,74.9
35,2014,74.9
37,2014,74.9
39,2014,74.9
41,2014,74.9
2,2015,72
3,2015,72
6,2015,72
7,2015,72
9,2015,72
12,2015,72
15,2015,72
4,2015,74
8,2015,74
10,2015,74
13,2015,74
16,2015,74
25,2015,71.9
28,2015,71.9
31,2015,71.9
34,2015,71.9
24,2015,68.1
27,2015,68.1
23,2015,67.2
17,2015,62.9
18,2015,62.9
21,2015,62.9
30,2015,68.5
32,2015,68.5
36,2015,68.5
38,2015,68.5
40,2015,68.5
42,2015,68.5
1,2015,75.5
5,2015,75.5
11,2015,75.5
14,2015,75.5
20,2015,75.5
26,2015,75.5
29,2015,75.5
35,2015,75.5
37,2015,75.5
39,2015,75.5
41,2015,75.5
2,2016,72.7
3,2016,72.7
6,2016,72.7
7,2016,72.7
9,2016,72.7
12,2016,72.7
15,2016,72.7
4,2016,74.7
8,2016,74.7
10,2016,74.7
13,2016,74.7
16,2016,74.7
25,2016,72.1
28,2016,72.1
31,2016,72.1
34,2016,72.1
24,2016,68.7
27,2016,68.7
23,2016,69.4
17,2016,64.5
18,2016,64.5
21,2016,64.5
30,2016,69.1
32,2016,69.1
36,2016,69.1
38,2016,69.1
40,2016,69.1
42,2016,69.1
1,2016,76.2
5,2016,76.2
11,2016,76.2
14,2016,76.2
20,2016,76.2
26,2016,76.2
29,2016,76.2
35,2016,76.2
37,2016,76.2
39,2016,76.2
41,2016,76.2
2,2017,73.2
3,2017,73.2
6,2017,73.2
7,2017,73.2
9,2017,73.2
12,2017,73.2
15,2017,73.2
4,2017,75.2
8,2017,75.2
10,2017,75.2
13,2017,75.2
16,2017,75.2
25,2017,74.1
28,2017,74.1
31,2017,74.1
34,2017,74.1
24,2017,70.1
27,2017,70.1
23,2017,70.4
17,2017,66.1
18,2017,66.1
21,2017,66.1
30,2017,70
32,2017,70
36,2017,70
38,2017,70
40,2017,70
42,2017,70
1,2017,76.9
5,2017,76.9
11,2017,76.9
14,2017,76.9
20,2017,76.9
26,2017,76.9
29,2017,76.9
35,2017,76.9
37,2017,76.9
39,2017,76.9
41,2017,76.9
2,2018,74.1
3,2018,74.1
6,2018,74.1
7,2018,74.1
9,2018,74.1
12,2018,74.1
15,2018,74.1
4,2018,75.9
8,2018,75.9
10,2018,75.9
13,2018,75.9
16,2018,75.9
25,2018,74.8
28,2018,74.8
31,2018,74.8
34,2018,74.8
24,2018,71.8
27,2018,71.8
23,2018,72.4
17,2018,67.4
18,2018,67.4
21,2018,67.4
30,2018,72.1
32,2018,72.1
36,2018,72.1
38,2018,72.1
40,2018,72.1
42,2018,72.1
1,2018,77.4
5,2018,77.4
11,2018,77.4
14,2018,77.4
20,2018,77.4
26,2018,77.4
29,2018,77.4
35,2018,77.4
37,2018,77.4
39,2018,77.4
41,2018,77.4
2,2019,75
3,2019,75
6,2019,75
7,2019,75
9,2019,75
12,2019,75
15,2019,75
4,2019,76.7
8,2019,76.7
10,2019,76.7
13,2019,76.7
16,2019,76.7
25,2019,75.3
28,2019,75.3
31,2019,75.3
34,2019,75.3
24,2019,72.3
27,2019,72.3
23,2019,73
17,2019,68.2
18,2019,68.2
21,2019,68.2
30,2019,72.9
32,2019,72.9
36,2019,72.9
38,2019,72.9
40,2019,72.9
42,2019,72.9
1,2019,77.1
5,2019,77.1
11,2019,77.1
14,2019,77.1
20,2019,77.1
