rgn_id,pressure_score,year
1,0.18,2019
2,0.04,2019
3,0.39,2019
4,NA,2019
5,0.13,2019
6,0.45,2019
7,0.18,2019
8,0.09,2019
9,0.24,2019
10,0.05,2019
11,1,2019
12,0.64,2019
13,0.29,2019
14,0.08,2019
15,0.12,2019
16,0.04,2019
17,0.13,2019
18,0.05,2019
19,NA,2019
20,0.03,2019
21,0.18,2019
22,NA,2019
23,NA,2019
24,0.03,2019
25,0.12,2019
26,0.02,2019
27,NA,2019
28,0,2019
29,0.01,2019
30,0.07,2019
31,0.69,2019
32,0.07,2019
33,NA,2019
34,0.53,2019
35,0.04,2019
36,0.08,2019
37,0.01,2019
38,0.01,2019
39,0.13,2019
40,0,2019
41,0.03,2019
42,0.05,2019
