region_id,year,pressure_score
1,1997,0
1,1998,0
1,1999,0
1,2000,0.77
1,2001,0.6
1,2002,0.18
1,2003,0
1,2004,0
1,2005,0
1,2006,0
1,2007,0
1,2008,0.19
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
1,2016,0
1,2017,0
2,1997,0
2,1998,0
2,1999,0
2,2000,0.77
2,2001,0.6
2,2002,0.18
2,2003,0
2,2004,0
2,2005,0
2,2006,0
2,2007,0
2,2008,0.19
2,2009,0
2,2010,0
2,2011,0
2,2012,0
2,2013,0
2,2014,0
2,2015,0
2,2016,0
2,2017,0
3,1997,0.13
3,1998,0
3,1999,0.22
3,2000,0.35
3,2001,0
3,2002,0.06
3,2003,0
3,2004,0
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
4,1997,0.13
4,1998,0
4,1999,0.22
4,2000,0.35
4,2001,0
4,2002,0.06
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0.77
5,2001,0.6
5,2002,0.18
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0.19
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
6,1997,0
6,1998,0
6,1999,0
6,2000,0.77
6,2001,0.6
6,2002,0.18
6,2003,0
6,2004,0
6,2005,0
6,2006,0
6,2007,0
6,2008,0.19
6,2009,0
6,2010,0
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
7,1997,0.13
7,1998,0
7,1999,0.22
7,2000,0.35
7,2001,0
7,2002,0.06
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,0
7,2011,0
7,2012,0
7,2013,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
8,1997,0.13
8,1998,0
8,1999,0.22
8,2000,0.35
8,2001,0
8,2002,0.06
8,2003,0
8,2004,0
8,2005,0
8,2006,0
8,2007,0
8,2008,0
8,2009,0
8,2010,0
8,2011,0
8,2012,0
8,2013,0
8,2014,0
8,2015,0
8,2016,0
8,2017,0
9,1997,0.13
9,1998,0
9,1999,0.22
9,2000,0.35
9,2001,0
9,2002,0.06
9,2003,0
9,2004,0
9,2005,0
9,2006,0
9,2007,0
9,2008,0
9,2009,0
9,2010,0
9,2011,0
9,2012,0
9,2013,0
9,2014,0
9,2015,0
9,2016,0
9,2017,0
10,1997,0.13
10,1998,0
10,1999,0.22
10,2000,0.35
10,2001,0
10,2002,0.06
10,2003,0
10,2004,0
10,2005,0
10,2006,0
10,2007,0
10,2008,0
10,2009,0
10,2010,0
10,2011,0
10,2012,0
