rgn_id,resilience_score,year
1,1,2014
2,0.625,2014
3,0.625,2014
4,0.4375,2014
5,1,2014
6,0.625,2014
7,0.625,2014
8,0.4375,2014
9,0.625,2014
10,0.4375,2014
11,1,2014
12,0.625,2014
13,0.4375,2014
14,1,2014
15,0.625,2014
16,0.4375,2014
17,1,2014
18,1,2014
19,NA,2014
20,1,2014
21,1,2014
22,NA,2014
23,1,2014
24,1,2014
25,1,2014
26,1,2014
27,1,2014
28,1,2014
29,1,2014
30,0.8125,2014
31,1,2014
32,0.8125,2014
33,NA,2014
34,1,2014
35,1,2014
36,0.8125,2014
37,1,2014
38,0.8125,2014
39,1,2014
40,0.8125,2014
41,1,2014
42,0.8125,2014
