rgn_id,score,dimension,year
1,36.56957929,status,2014
2,16.74876847,status,2014
3,57.36842105,status,2014
4,90,status,2014
5,90,status,2014
6,95,status,2014
7,14.1025641,status,2014
8,56.34920635,status,2014
9,20.63492063,status,2014
10,45,status,2014
11,20.63492063,status,2014
12,NA,status,2014
13,21.42857143,status,2014
14,16.66666667,status,2014
15,NA,status,2014
16,2.666666667,status,2014
17,NA,status,2014
18,8.620689655,status,2014
19,NA,status,2014
20,7.299270073,status,2014
21,NA,status,2014
22,NA,status,2014
23,NA,status,2014
24,NA,status,2014
25,9.132420091,status,2014
26,25.7359924,status,2014
27,0,status,2014
28,29.54091816,status,2014
29,21.89265537,status,2014
30,3.787878788,status,2014
31,9.892473118,status,2014
32,4.458598726,status,2014
33,0,status,2014
34,15.78947368,status,2014
35,19.67213115,status,2014
36,19.53488372,status,2014
37,NA,status,2014
38,NA,status,2014
39,NA,status,2014
40,NA,status,2014
41,NA,status,2014
42,NA,status,2014
