rgn_id,dimension,score,year
1,trend,NA,2019
2,trend,0.07,2019
3,trend,-0.02,2019
4,trend,NA,2019
5,trend,NA,2019
6,trend,-0.16,2019
7,trend,NA,2019
8,trend,NA,2019
9,trend,NA,2019
10,trend,NA,2019
11,trend,NA,2019
12,trend,0.29,2019
13,trend,NA,2019
14,trend,0.12,2019
15,trend,NA,2019
16,trend,NA,2019
17,trend,NA,2019
18,trend,NA,2019
19,trend,NA,2019
20,trend,NA,2019
21,trend,NA,2019
22,trend,NA,2019
23,trend,0,2019
24,trend,-0.09,2019
25,trend,NA,2019
26,trend,0.01,2019
27,trend,-0.11,2019
28,trend,0.04,2019
29,trend,-0.15,2019
30,trend,NA,2019
31,trend,NA,2019
32,trend,0.05,2019
33,trend,NA,2019
34,trend,NA,2019
35,trend,0.08,2019
36,trend,0.07,2019
37,trend,NA,2019
38,trend,NA,2019
39,trend,0.01,2019
40,trend,0.13,2019
41,trend,0.01,2019
42,trend,0.22,2019
