"region_id","year","surf_sal_pressure"
11,2019,0.06
12,2019,0.06
13,2019,0.06
9,2019,0.09
10,2019,0.09
14,2019,0.15
15,2019,0.15
16,2019,0.15
17,2019,0.15
20,2019,0.28
21,2019,0.28
22,2019,0.28
23,2019,0.28
24,2019,0.28
25,2019,0.28
18,2019,0.7
19,2019,0.7
32,2019,0.64
33,2019,0.64
34,2019,0.64
27,2019,0.27
28,2019,0.27
1,2019,0.23
2,2019,0.23
7,2019,0.09
8,2019,0.09
29,2019,0.05
30,2019,0.05
31,2019,0.05
26,2019,0.09
35,2018,0.31
36,2018,0.31
11,2018,0.03
12,2018,0.03
13,2018,0.03
9,2018,0.08
10,2018,0.08
14,2018,0.22
15,2018,0.22
16,2018,0.22
17,2018,0.22
41,2018,0.76
42,2018,0.76
37,2018,0.45
38,2018,0.45
20,2018,0.3
21,2018,0.3
22,2018,0.3
23,2018,0.3
24,2018,0.3
25,2018,0.3
18,2018,0.84
19,2018,0.84
3,2018,0.16
4,2018,0.16
32,2018,0.74
33,2018,0.74
34,2018,0.74
27,2018,0.38
28,2018,0.38
1,2018,0.32
2,2018,0.32
7,2018,0.05
8,2018,0.05
29,2018,0.14
30,2018,0.14
31,2018,0.14
39,2018,1
40,2018,1
5,2018,0
6,2018,0
26,2018,0.15
35,2017,0.3
36,2017,0.3
11,2017,0.05
12,2017,0.05
13,2017,0.05
9,2017,0.1
10,2017,0.1
14,2017,0.24
15,2017,0.24
16,2017,0.24
17,2017,0.24
41,2017,0.68
42,2017,0.68
37,2017,0.4
38,2017,0.4
20,2017,0.34
21,2017,0.34
22,2017,0.34
23,2017,0.34
24,2017,0.34
25,2017,0.34
18,2017,0.85
19,2017,0.85
3,2017,0.15
4,2017,0.15
32,2017,0.69
33,2017,0.69
34,2017,0.69
27,2017,0.46
28,2017,0.46
1,2017,0.35
2,2017,0.35
7,2017,0.04
8,2017,0.04
29,2017,0.2
30,2017,0.2
31,2017,0.2
39,2017,1
40,2017,1
5,2017,0
6,2017,0
26,2017,0.2
35,2016,0.31
36,2016,0.31
11,2016,0.08
12,2016,0.08
13,2016,0.08
9,2016,0.12
10,2016,0.12
14,2016,0.26
15,2016,0.26
16,2016,0.26
17,2016,0.26
41,2016,0.6
42,2016,0.6
37,2016,0.35
38,2016,0.35
20,2016,0.38
21,2016,0.38
22,2016,0.38
23,2016,0.38
24,2016,0.38
