region_id,year,pressure_score
1,1997,0.02
1,1998,0.07
1,1999,0.51
1,2000,0.83
1,2001,0.78
1,2002,0.59
1,2003,0.24
1,2004,0.13
1,2005,0
1,2006,0.16
1,2007,0.25
1,2008,0.39
1,2009,0.18
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
1,2016,0
1,2017,0
2,1997,0.02
2,1998,0.07
2,1999,0.51
2,2000,0.83
2,2001,0.78
2,2002,0.59
2,2003,0.24
2,2004,0.13
2,2005,0
2,2006,0.16
2,2007,0.25
2,2008,0.39
2,2009,0.18
2,2010,0
2,2011,0
2,2012,0
2,2013,0
2,2014,0
2,2015,0
2,2016,0
2,2017,0
3,1997,0.03
3,1998,0.11
3,1999,0.43
3,2000,0.65
3,2001,0.32
3,2002,0.32
3,2003,0.04
3,2004,0.07
3,2005,0
3,2006,0
3,2007,0.09
3,2008,0.13
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
4,1997,0.03
4,1998,0.11
4,1999,0.43
4,2000,0.65
4,2001,0.32
4,2002,0.32
4,2003,0.04
4,2004,0.07
4,2005,0
4,2006,0
4,2007,0.09
4,2008,0.13
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
5,1997,0.02
5,1998,0.07
5,1999,0.51
5,2000,0.83
5,2001,0.78
5,2002,0.59
5,2003,0.24
5,2004,0.13
5,2005,0
5,2006,0.16
5,2007,0.25
5,2008,0.39
5,2009,0.18
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
6,1997,0.02
6,1998,0.07
6,1999,0.51
6,2000,0.83
6,2001,0.78
6,2002,0.59
6,2003,0.24
6,2004,0.13
6,2005,0
6,2006,0.16
6,2007,0.25
6,2008,0.39
6,2009,0.18
6,2010,0
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
7,1997,0.03
7,1998,0.11
7,1999,0.43
7,2000,0.65
7,2001,0.32
7,2002,0.32
7,2003,0.04
7,2004,0.07
7,2005,0
7,2006,0
7,2007,0.09
7,2008,0.13
7,2009,0
7,2010,0
7,2011,0
7,2012,0
7,2013,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
8,1997,0.03
8,1998,0.11
8,1999,0.43
8,2000,0.65
8,2001,0.32
8,2002,0.32
8,2003,0.04
8,2004,0.07
8,2005,0
8,2006,0
8,2007,0.09
8,2008,0.13
8,2009,0
8,2010,0
8,2011,0
8,2012,0
8,2013,0
8,2014,0
8,2015,0
8,2016,0
8,2017,0
9,1997,0.03
9,1998,0.11
9,1999,0.43
9,2000,0.65
9,2001,0.32
9,2002,0.32
9,2003,0.04
9,2004,0.07
9,2005,0
9,2006,0
9,2007,0.09
9,2008,0.13
9,2009,0
9,2010,0
9,2011,0
9,2012,0
9,2013,0
9,2014,0
9,2015,0
9,2016,0
9,2017,0
10,1997,0.03
10,1998,0.11
10,1999,0.43
10,2000,0.65
10,2001,0.32
10,2002,0.32
10,2003,0.04
10,2004,0.07
10,2005,0
10,2006,0
10,2007,0.09
10,2008,0.13
10,2009,0
10,2010,0
10,2011,0
10,2012,0
10,2013,0
10,2014,0
10,2015,0
10,2016,0
10,2017,0
11,1997,0.66
11,1998,0.75
11,1999,0.76
11,2000,0.75
11,2001,0.58
11,2002,0.54
11,2003,0.39
11,2004,0.32
11,2005,0.19
11,2006,0.27
11,2007,0.35
11,2008,0.35
11,2009,0.32
11,2010,0.41
11,2011,0.51
11,2012,0.49
11,2013,0.33
11,2014,0.16
11,2015,0.1
11,2016,0.03
11,2017,0.23
12,1997,0.66
12,1998,0.75
12,1999,0.76
12,2000,0.75
12,2001,0.58
12,2002,0.54
12,2003,0.39
12,2004,0.32
12,2005,0.19
