subbasin,order
Aland Sea,4
Arkona Basin,12
Bay of Mecklenburg,13
Bornholm Basin,11
Bothnian Bay,1
Bothnian Sea,3
Eastern Gotland Basin,9
Gdansk Basin,10
Great Belt,16
Gulf of Finland,5
Gulf of Riga,7
Kattegat,17
Kiel Bay,14
Northern Baltic Proper,6
The Quark,2
The Sound,15
Western Gotland Basin,8
