BHI_ID,ICES_ID,ICES_numeric
1,IIIa,3
2,IIIa,3
3,22,22
4,22,22
5,23,23
6,23,23
7,22,22
8,22,22
9,22,22
10,22,22
11,24,24
12,24,24
13,24,24
14,25,25
15,25,25
16,24,24
17,25,25
18,26,26
19,26,26
20,28-2,28.2
21,26,26
22,26,26
23,26,26
24,28-2,28.2
25,28-2,28.2
26,27,27
27,28-1,28.1
28,28-1,28.1
29,29,29
30,29,29
31,29,29
32,32,32
33,32,32
34,32,32
35,29,29
36,29,29
37,30,30
38,30,30
39,31,31
40,30,30
41,31,31
42,31,31
