eez,rgn_key,country_name
1,SWE,Sweden
2,DNK,Denmark
3,DEU,Germany
4,POL,Poland
5,RUS,Russia
6,LTU,Lithuania
7,LVA,Latvia
8,EST,Estonia
9,FIN,Finland
