"region_id","region_name","area_km2_rgn","eez_id","eez_name","subbasin_id","subbasin_name"
1,"Swe - Kattegat",6739.5362,301,"Sweden",501,"Kattegat"
2,"Den - Kattegat",15300.69996,302,"Denmark",501,"Kattegat"
3,"Den - Great Belt",10369.11323,302,"Denmark",502,"Great Belt"
4,"Ger - Great Belt",140.98877,303,"Germany",502,"Great Belt"
5,"Swe - The Sound",612.66514,301,"Sweden",503,"The Sound"
6,"Den - The Sound",588.38712,302,"Denmark",503,"The Sound"
7,"Den - Kiel Bay",1208.87616,302,"Denmark",504,"Kiel Bay"
8,"Ger - Kiel Bay",2079.47971,303,"Germany",504,"Kiel Bay"
9,"Den - Bay of Mecklenburg",1144.29301,302,"Denmark",505,"Bay of Mecklenburg"
10,"Ger - Bay of Mecklenburg",3438.82204,303,"Germany",505,"Bay of Mecklenburg"
11,"Swe - Arkona Basin",4226.44762,301,"Sweden",506,"Arkona Basin"
12,"Den - Arkona Basin",6272.53375,302,"Denmark",506,"Arkona Basin"
13,"Ger - Arkona Basin",7071.49776,303,"Germany",506,"Arkona Basin"
14,"Swe - Bornholm Basin",15096.6004,301,"Sweden",507,"Bornholm Basin"
15,"Den - Bornholm Basin",7152.79836,302,"Denmark",507,"Bornholm Basin"
16,"Ger - Bornholm Basin",2566.81091,303,"Germany",507,"Bornholm Basin"
17,"Pol - Bornholm Basin",17334.97259,304,"Poland",507,"Bornholm Basin"
18,"Pol - Gdansk Basin",3682.83573,304,"Poland",508,"Gdansk Basin"
19,"Rus - Gdansk Basin",2138.41462,305,"Russia",508,"Gdansk Basin"
20,"Swe - Eastern Gotland Basin",21941.00756,301,"Sweden",509,"Eastern Gotland Basin"
21,"Pol - Eastern Gotland Basin",11013.8982,304,"Poland",509,"Eastern Gotland Basin"
22,"Rus - Eastern Gotland Basin",9466.30104,305,"Russia",509,"Eastern Gotland Basin"
23,"Lit - Eastern Gotland Basin",6139.73941,306,"Lithuania",509,"Eastern Gotland Basin"
24,"Lat - Eastern Gotland Basin",20977.58487,307,"Latvia",509,"Eastern Gotland Basin"
25,"Est - Eastern Gotland Basin",5414.05646,308,"Estonia",509,"Eastern Gotland Basin"
26,"Swe - Western Gotland Basin",27456.05692,301,"Sweden",510,"Western Gotland Basin"
27,"Lat - Gulf of Riga",7993.91788,307,"Latvia",511,"Gulf of Riga"
28,"Est - Gulf of Riga",10774.55332,308,"Estonia",511,"Gulf of Riga"
29,"Swe - Northern Baltic Proper",17728.40167,301,"Sweden",512,"Northern Baltic Proper"
30,"Fin - Northern Baltic Proper",9800.24404,309,"Finland",512,"Northern Baltic Proper"
31,"Est - Northern Baltic Proper",11841.39906,308,"Estonia",512,"Northern Baltic Proper"
32,"Fin - Gulf of Finland",9549.67733,309,"Finland",513,"Gulf of Finland"
33,"Rus - Gulf of Finland",11571.59858,305,"Russia",513,"Gulf of Finland"
34,"Est - Gulf of Finland",8426.04463,308,"Estonia",513,"Gulf of Finland"
35,"Swe - Aland Sea",2703.05659,301,"Sweden",514,"Aland Sea"
36,"Fin - Aland Sea",12405.68538,309,"Finland",514,"Aland Sea"
37,"Swe - Bothnian Sea",31735.90809,301,"Sweden",515,"Bothnian Sea"
38,"Fin - Bothnian Sea",28136.78846,309,"Finland",515,"Bothnian Sea"
39,"Swe - The Quark",3215.71496,301,"Sweden",516,"The Quark"
40,"Fin - The Quark",4932.99666,309,"Finland",516,"The Quark"
41,"Swe - Bothnian Bay",17335.82956,301,"Sweden",517,"Bothnian Bay"
42,"Fin - Bothnian Bay",14930.90472,309,"Finland",517,"Bothnian Bay"
