rgn_id,rgn_name,area_km2
1,Swe - Kattegat,6565.58647973
10,Ger - Bay of Mecklenburg,3380.61988679
11,Swe - Arkona Basin,4229.10211615
12,Den - Arkona Basin,6178.48445672
13,Ger - Arkona Basin,6943.7423114
14,Swe - Bornholm Basin,15059.2100591
15,Den - Bornholm Basin,7132.67066085
16,Ger - Bornholm Basin,2532.23009238
17,Pol - Bornholm Basin,17231.0761968
18,Pol - Gdansk Basin,3598.08465588
19,Rus - Gdansk Basin,2093.5152419
2,Den - Kattegat,16315.485175
20,Swe - Eastern Gotland Basin,21904.3069818
21,Pol - Eastern Gotland Basin,11013.7075193
22,Rus - Eastern Gotland Basin,9402.46841717
23,Lit - Eastern Gotland Basin,6083.72552283
24,Lat - Eastern Gotland Basin,20992.3153589
25,Est - Eastern Gotland Basin,5364.64302521
26,Swe - Western Gotland Basin,27312.8600383
27,Lat - Gulf of Riga,7846.03761071
28,Est - Gulf of Riga,10356.8864271
29,Swe - Northern Baltic Proper,17846.7987612
3,Den - Great Belt,9987.81169212
30,Fin - Northern Baltic Proper,9809.85368294
31,Est - Northern Baltic Proper,11685.7615569
32,Fin - Gulf of Finland,9376.48131105
33,Rus - Gulf of Finland,11279.1063198
34,Est - Gulf of Finland,8121.92054132
35,Swe - Aland Sea,2732.12022608
36,Fin - Aland Sea,12812.0246603
37,Swe - Bothnian Sea,31239.6673474
38,Fin - Bothnian Sea,27952.3832074
39,Swe - The Quark,3164.64521903
4,Ger - Great Belt,98.620894352
40,Fin - The Quark,4862.2798263
41,Swe - Bothnian Bay,16947.6650747
42,Fin - Bothnian Bay,14709.8681336
5,Swe - The Sound,594.722913079
6,Den - The Sound,577.86889397
7,Den - Kiel Bay,1211.20620511
8,Ger - Kiel Bay,1996.89387929
9,Den - Bay of Mecklenburg,1141.1073139
