layer,filename,day_added,dummy_data_yr,added_w_goal
ao_stock_status,ao_stock_status_bhi2015.csv,2019-02-25,TRUE,AO
ao_stock_slope,ao_stock_slope_bhi2015.csv,2019-02-25,TRUE,AO
cc_sal_surf,cc_sal_surf_bhi2015.csv,2019-02-26,TRUE,AO
po_nload,po_nload_bhi2015.csv,2019-02-26,TRUE,AO
po_pload,po_pload_bhi2015.csv,2019-02-26,TRUE,AO
res_biodiversity,res_biodiversity_bhi2015.csv,2019-02-26,TRUE,AO
res_reg_bsap,res_reg_bsap_bhi2015.csv,2019-02-26,TRUE,AO
res_reg_cop21,res_reg_cop21_bhi2015.csv,2019-02-26,TRUE,AO
res_reg_msfd,res_reg_msfd_bhi2015.csv,2019-02-26,TRUE,AO
res_reg_wfd,res_reg_wfd_bhi2015.csv,2019-02-26,TRUE,AO
res_reg_cfp,res_reg_cfp_bhi2015.csv,2019-02-26,TRUE,AO
fis_bbmsy,fis_bbmsy_bhi2015.csv,2019-02-18,FALSE,FIS
fis_ffmsy,fis_ffmsy_bhi2015.csv,2019-02-18,FALSE,FIS
fis_landings,fis_landings_bhi2015.csv,2019-02-18,FALSE,FIS
cc_sal_deep,cc_sal_deep_bhi2015.csv,2019-02-18,TRUE,FIS
hab_anoxia,hab_anoxia_bhi2015.csv,2019-02-18,TRUE,FIS
hab_illegal_oil,hab_illegal_oil_bhi2015.csv,2019-02-18,TRUE,FIS
po_atmos_pcb153,po_atmos_pcb153_bhi2015.csv,2019-02-18,TRUE,FIS
res_reg_birds,res_reg_birds_bhi2015.csv,2019-02-18,TRUE,FIS
res_reg_hd,res_reg_hd_bhi2015.csv,2019-02-18,TRUE,FIS
res_reg_helcom,res_reg_helcom_bhi2015.csv,2019-02-18,TRUE,FIS
res_reg_mspd,res_reg_mspd_bhi2015.csv,2019-02-18,TRUE,FIS
res_reg_reach,res_reg_reach_bhi2015.csv,2019-02-27,TRUE,MAR
np_bbmsy,np_bbmsy_bhi2015.csv,2019-05-14,FALSE,NP
np_ffmsy,np_ffmsy_bhi2015.csv,2019-05-14,FALSE,NP
np_landings,np_landings_bhi2015.csv,2019-05-14,FALSE,NP
